X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,192,231
620,850,168,589
640,850,176,382
660,850,176,227
590,830,184,360
610,830,176,768
630,830,168,377
650,830,176,226
590,810,168,371
610,810,176,261
630,810,192,227
650,810,192,95
600,790,192,231
620,790,168,77
640,790,176,713
660,790,192,525
600,770,184,83
620,770,184,757
640,770,168,237
660,770,184,669
590,750,184,724
610,750,184,757
630,750,184,406
650,750,176,665
590,730,192,237
610,730,176,691
630,730,168,237
650,730,168,123
580,710,184,407
600,710,184,739
620,710,184,763
640,710,184,667
570,690,192,407
590,690,184,379
610,690,176,77
630,690,184,552
570,670,192,768
590,670,176,289
610,670,184,203
630,670,176,720
570,650,192,179
590,650,192,232
610,650,152,378
630,650,168,721
570,630,160,236
590,630,176,413
610,630,176,84
630,630,184,133
570,610,168,547
590,610,160,315
610,610,160,457
630,610,192,713
570,590,176,354
590,590,184,223
610,590,176,319
630,590,184,761
560,570,240,131
580,570,176,632
600,570,176,178
620,570,176,194
540,550,160,25
560,550,48,440
580,550,136,386
600,550,136,716
520,530,144,117
540,530,176,234
560,530,152,223
580,530,152,752
510,510,160,739
530,510,160,641
550,510,176,738
570,510,176,681
500,490,160,639
520,490,160,641
540,490,176,234
560,490,168,641
500,470,168,678
520,470,176,689
540,470,168,192
560,470,176,378
500,450,168,371
520,450,184,319
540,450,168,195
560,450,176,203
490,430,200,513
510,430,184,630
530,430,200,513
550,430,184,690
470,410,152,37
490,410,224,270
510,410,192,735
530,410,192,111
480,390,192,396
500,390,168,743
520,390,136,269
540,390,136,255
480,370,168,589
500,370,200,418
520,370,152,805
540,370,144,173
490,350,184,566
510,350,152,476
530,350,152,166
550,350,160,410
480,330,168,140
500,330,168,328
520,330,168,410
540,330,160,110
470,310,168,87
490,310,176,801
510,310,176,123
530,310,176,547
470,290,176,364
490,290,176,552
510,290,184,740
530,290,160,402
470,270,192,518
490,270,176,590
510,270,176,73
530,270,160,188
470,250,200,125
490,250,192,166
510,250,184,579
530,250,160,386
470,230,184,727
490,230,200,413
510,230,210,221
530,230,160,529
470,210,210,99
490,210,192,318
510,210,176,162
530,210,210,351
470,190,168,326
490,190,192,761
510,190,192,231
530,190,210,44
470,170,210,609
490,170,168,390
510,170,176,730
530,170,240,313
480,150,176,380
500,150,192,382
520,150,210,798
540,150,184,664
490,130,184,23
510,130,168,568
530,130,168,567
550,130,216,81
480,110,240,350
500,110,240,642
520,110,168,193
540,110,216,614
