X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,192,174
620,850,176,266
640,850,176,142
660,850,176,266
590,830,176,174
610,830,176,138
630,830,176,142
650,830,184,136
590,810,168,123
610,810,184,259
630,810,176,132
650,810,168,143
600,790,184,641
620,790,168,106
640,790,168,188
660,790,168,109
600,770,168,552
620,770,168,128
640,770,168,266
660,770,168,117
590,750,168,373
610,750,168,373
630,750,168,106
650,750,168,143
590,730,184,117
610,730,184,273
630,730,168,270
650,730,168,121
580,710,152,267
600,710,184,174
620,710,184,367
640,710,160,270
570,690,192,62
590,690,192,605
610,690,176,128
630,690,184,417
570,670,176,724
590,670,176,607
610,670,176,751
630,670,168,751
570,650,176,644
590,650,184,121
610,650,152,358
630,650,168,81
570,630,160,177
590,630,184,357
610,630,168,640
630,630,176,20
570,610,168,724
590,610,184,546
610,610,184,240
630,610,160,755
570,590,176,122
590,590,184,751
610,590,168,640
630,590,176,546
560,570,176,603
580,570,176,552
600,570,176,72
620,570,176,81
540,550,152,232
560,550,200,495
580,550,168,346
600,550,168,364
520,530,152,267
540,530,160,265
560,530,144,166
580,530,160,357
510,510,160,128
530,510,168,266
550,510,160,106
570,510,168,601
500,490,160,138
520,490,160,141
540,490,184,736
560,490,176,737
500,470,176,604
520,470,176,381
540,470,176,751
560,470,184,273
500,450,176,262
520,450,184,266
540,450,176,415
560,450,184,751
490,430,200,376
510,430,184,552
530,430,176,94
550,430,184,187
470,410,160,597
490,410,200,275
510,410,184,640
530,410,184,460
480,390,176,370
500,390,184,347
520,390,184,758
540,390,160,230
480,370,184,255
500,370,176,548
520,370,152,431
540,370,168,230
490,350,152,635
510,350,160,607
530,350,160,255
550,350,160,725
480,330,136,781
500,330,168,753
520,330,168,459
540,330,184,450
470,310,168,630
490,310,168,426
510,310,176,720
530,310,184,556
470,290,176,414
490,290,176,459
510,290,192,632
530,290,168,311
470,270,168,632
490,270,176,317
510,270,176,92
530,270,168,79
470,250,176,92
490,250,192,713
510,250,168,653
530,250,200,643
470,230,184,247
490,230,200,449
510,230,216,443
530,230,160,608
470,210,168,393
490,210,200,73
510,210,160,92
530,210,216,415
470,190,192,628
490,190,176,438
510,190,200,415
530,190,210,597
470,170,210,523
490,170,192,753
510,170,184,630
530,170,216,177
480,150,200,630
500,150,192,81
520,150,200,725
540,150,200,106
490,130,192,724
510,130,184,552
530,130,184,560
550,130,200,82
480,110,192,79
500,110,176,68
520,110,184,68
540,110,184,720
