X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,16,770
620,850,8,336
640,850,24,321
660,850,16,617
590,830,8,619
610,830,8,613
630,830,0,620
650,830,8,621
590,810,16,344
610,810,304,611
630,810,24,307
650,810,40,356
600,790,32,344
620,790,32,620
640,790,0,616
660,790,8,344
600,770,40,336
620,770,40,307
640,770,32,620
660,770,8,624
590,750,16,343
610,750,8,621
630,750,8,335
650,750,16,621
590,730,8,619
610,730,8,688
630,730,48,620
650,730,40,344
580,710,8,615
600,710,8,611
620,710,0,620
640,710,24,617
570,690,16,503
590,690,48,324
610,690,24,321
630,690,8,619
570,670,88,483
590,670,24,620
610,670,106,611
630,670,352,344
570,650,320,344
590,650,96,624
610,650,352,611
630,650,0,344
570,630,40,618
590,630,56,614
610,630,40,617
630,630,32,611
570,610,48,503
590,610,40,611
610,610,88,624
630,610,144,619
570,590,32,613
590,590,24,344
610,590,16,618
630,590,352,613
560,570,24,618
580,570,88,617
600,570,106,335
620,570,8,617
540,550,16,342
560,550,32,344
580,550,96,341
600,550,106,776
520,530,32,617
540,530,8,613
560,530,24,321
580,530,272,320
510,510,8,672
530,510,16,617
550,510,16,343
570,510,24,321
500,490,16,611
520,490,0,621
540,490,8,611
560,490,16,344
500,470,72,502
520,470,352,503
540,470,32,344
560,470,0,770
500,450,168,625
520,450,80,613
540,450,80,342
560,450,64,688
490,430,32,688
510,430,40,612
530,430,48,672
550,430,64,672
470,410,8,611
490,410,352,611
510,410,8,620
530,410,56,622
480,390,184,341
500,390,106,664
520,390,0,620
540,390,352,322
480,370,352,321
500,370,64,787
520,370,352,770
540,370,352,620
490,350,24,357
510,350,352,622
530,350,0,787
550,350,0,624
480,330,344,616
500,330,80,502
520,330,48,764
540,330,88,764
470,310,344,321
490,310,56,614
510,310,16,324
530,310,88,335
470,290,352,321
490,290,112,478
510,290,40,732
530,290,96,341
470,270,56,624
490,270,56,588
510,270,96,356
530,270,8,621
470,250,48,342
490,250,72,503
510,250,48,625
530,250,40,480
470,230,88,693
490,230,24,503
510,230,72,613
530,230,352,613
470,210,40,503
490,210,72,335
510,210,72,483
530,210,320,320
470,190,336,624
490,190,72,307
510,190,16,503
530,190,16,504
470,170,96,612
490,170,40,501
510,170,88,622
530,170,40,324
480,150,24,344
500,150,106,482
520,150,32,769
540,150,80,621
490,130,112,478
510,130,32,322
530,130,32,616
550,130,32,616
480,110,112,624
500,110,96,732
520,110,32,621
540,110,8,532
