X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,192,266
620,850,192,139
640,850,176,262
660,850,176,265
590,830,176,552
610,830,176,262
630,830,184,262
650,830,184,138
590,810,168,262
610,810,176,75
630,810,176,81
650,810,172,738
600,790,184,259
620,790,168,81
640,790,168,72
660,790,168,274
600,770,168,72
620,770,168,143
640,770,168,188
660,770,168,146
590,750,168,140
610,750,168,145
630,750,184,106
650,750,168,738
590,730,184,25
610,730,168,166
630,730,168,274
650,730,168,117
580,710,160,272
600,710,184,552
620,710,184,582
640,710,168,88
570,690,168,402
590,690,192,270
610,690,176,145
630,690,168,775
570,670,192,723
590,670,176,271
610,670,176,118
630,670,168,61
570,650,176,572
590,650,188,410
610,650,152,121
630,650,168,738
570,630,168,415
590,630,184,274
610,630,168,274
630,630,176,261
570,610,168,118
590,610,184,109
610,610,184,240
630,610,160,240
570,590,176,143
590,590,184,259
610,590,192,483
630,590,184,259
560,570,176,182
580,570,184,121
600,570,176,259
620,570,160,164
540,550,152,274
560,550,204,282
580,550,168,167
600,550,168,28
520,530,152,176
540,530,160,139
560,530,152,109
580,530,160,274
510,510,168,265
530,510,168,641
550,510,160,265
570,510,168,260
500,490,160,262
520,490,160,262
540,490,184,556
560,490,176,109
500,470,176,274
520,470,176,265
540,470,184,176
560,470,184,598
500,450,176,81
520,450,184,373
540,450,184,118
560,450,184,118
490,430,184,32
510,430,184,80
530,430,176,604
550,430,184,556
470,410,160,411
490,410,204,570
510,410,184,381
530,410,184,781
480,390,176,126
500,390,184,411
520,390,184,438
540,390,160,271
480,370,168,657
500,370,176,548
520,370,152,430
540,370,168,781
490,350,152,547
510,350,160,781
530,350,160,601
550,350,160,612
480,330,168,271
500,330,168,268
520,330,168,431
540,330,184,591
470,310,168,632
490,310,168,550
510,310,176,272
530,310,184,386
470,290,176,272
490,290,168,781
510,290,192,512
530,290,168,638
470,270,168,634
490,270,176,601
510,270,176,642
530,270,168,616
470,250,176,601
490,250,192,601
510,250,176,638
530,250,204,551
470,230,184,601
490,230,204,788
510,230,216,393
530,230,160,609
470,210,168,392
490,210,176,605
510,210,160,264
530,210,216,556
470,190,192,524
490,190,176,293
510,190,204,601
530,190,216,601
470,170,216,585
490,170,192,634
510,170,184,518
530,170,216,273
480,150,204,271
500,150,192,265
520,150,204,618
540,150,204,80
490,130,192,273
510,130,184,80
530,130,184,591
550,130,204,775
480,110,192,548
500,110,176,80
520,110,184,552
540,110,184,598
