X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,184,591
620,850,176,273
640,850,160,277
660,850,168,604
590,830,176,228
610,830,176,81
630,830,184,94
650,830,168,81
590,810,168,227
610,810,168,187
630,810,200,257
650,810,168,89
600,790,184,296
620,790,168,277
640,790,168,296
660,790,176,34
600,770,192,775
620,770,168,93
640,770,168,84
660,770,168,591
590,750,184,739
610,750,168,166
630,750,176,140
650,750,160,294
590,730,200,522
610,730,184,554
630,730,176,121
650,730,168,401
580,710,168,267
600,710,184,738
620,710,184,738
640,710,168,534
570,690,184,725
590,690,184,552
610,690,176,723
630,690,184,259
570,670,192,81
590,670,184,264
610,670,176,228
630,670,168,140
570,650,184,556
590,650,176,269
610,650,152,552
630,650,160,265
570,630,160,294
590,630,152,292
610,630,152,277
630,630,176,228
570,610,160,277
590,610,160,269
610,610,144,636
630,610,176,261
570,590,176,723
590,590,184,723
610,590,176,228
630,590,168,266
560,570,144,434
580,570,176,244
600,570,176,138
620,570,176,155
540,550,152,165
560,550,232,457
580,550,152,264
600,550,144,551
520,530,144,387
540,530,168,738
560,530,152,296
580,530,152,396
510,510,168,552
530,510,160,552
550,510,160,401
570,510,168,562
500,490,176,724
520,490,160,552
540,490,176,430
560,490,184,739
500,470,168,378
520,470,176,269
540,470,168,92
560,470,184,739
500,450,176,81
520,450,200,721
540,450,184,739
560,450,184,277
490,430,200,776
510,430,184,741
530,430,184,552
550,430,184,552
470,410,168,549
490,410,216,739
510,410,184,295
530,410,200,452
480,390,216,554
500,390,216,806
520,390,216,452
540,390,200,554
480,370,168,431
500,370,200,402
520,370,216,443
540,370,216,775
490,350,168,548
510,350,160,606
530,350,224,551
550,350,224,452
480,330,168,551
500,330,176,412
520,330,168,793
540,330,224,548
470,310,184,806
490,310,176,793
510,310,176,548
530,310,176,442
470,290,184,459
490,290,176,452
510,290,176,456
530,290,168,615
470,270,184,789
490,270,184,516
510,270,184,398
530,270,224,776
470,250,184,776
490,250,192,481
510,250,184,793
530,250,168,593
470,230,192,791
490,230,192,40
510,230,216,416
530,230,160,64
470,210,224,791
490,210,160,471
510,210,176,38
530,210,200,402
470,190,224,792
490,190,192,531
510,190,200,29
530,190,200,40
470,170,216,548
490,170,192,789
510,170,240,792
530,170,240,244
480,150,176,793
500,150,192,781
520,150,216,791
540,150,216,564
490,130,200,776
510,130,184,548
530,130,184,592
550,130,216,755
480,110,240,426
500,110,232,557
520,110,184,430
540,110,224,558
