X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,184,257
620,850,192,115
640,850,176,75
660,850,176,393
590,830,204,398
610,830,192,115
630,830,176,83
650,830,168,359
600,810,168,239
620,810,204,38
640,810,192,91
660,810,184,91
610,790,168,466
630,790,168,271
650,790,176,248
670,790,184,58
600,770,176,574
620,770,184,286
640,770,176,286
660,770,176,252
600,750,204,305
620,750,160,96
640,750,176,207
660,750,168,468
600,730,184,264
620,730,184,461
640,730,184,469
660,730,184,159
580,710,184,392
600,710,184,393
620,710,184,283
640,710,184,207
580,690,184,395
600,690,184,207
620,690,160,422
640,690,168,273
550,670,184,359
570,670,184,257
590,670,184,399
610,670,160,58
540,650,168,286
560,650,184,392
580,650,204,785
600,650,160,611
530,630,176,249
550,630,176,291
570,630,160,469
590,630,176,422
520,610,136,433
540,610,168,484
560,610,176,416
580,610,168,291
520,590,144,68
540,590,176,392
560,590,204,475
580,590,176,207
520,570,184,514
540,570,176,227
560,570,184,602
580,570,176,3
520,550,184,239
540,550,176,582
560,550,204,791
580,550,152,249
510,530,176,272
530,530,176,271
550,530,160,75
570,530,144,422
510,510,184,263
530,510,176,392
550,510,184,427
570,510,168,362
510,490,184,2
530,490,192,461
550,490,176,359
570,490,176,99
510,470,176,265
530,470,160,605
550,470,184,268
570,470,184,607
500,450,204,612
520,450,204,748
540,450,192,264
560,450,184,461
490,430,192,436
510,430,176,425
530,430,192,450
550,430,176,564
480,410,192,434
500,410,168,506
520,410,168,561
540,410,160,256
470,390,164,619
490,390,184,505
510,390,176,274
530,390,152,283
480,370,176,570
500,370,176,571
520,370,144,287
540,370,160,585
470,350,168,573
490,350,176,533
510,350,188,506
530,350,148,618
470,330,176,77
490,330,144,573
510,330,184,623
530,330,160,568
480,310,176,507
500,310,168,266
520,310,176,266
540,310,160,587
480,290,176,273
500,290,176,461
520,290,184,582
540,290,160,588
470,270,160,570
490,270,176,116
510,270,176,456
530,270,184,725
470,250,168,455
490,250,184,56
510,250,184,725
530,250,192,461
470,230,160,457
490,230,192,764
510,230,192,731
530,230,176,752
470,210,168,533
490,210,192,390
510,210,152,460
530,210,204,395
480,190,144,619
500,190,168,506
520,190,204,569
540,190,204,562
480,170,204,761
500,170,204,469
520,170,192,461
540,170,216,75
480,150,184,726
500,150,184,393
520,150,192,587
540,150,216,582
480,130,192,460
500,130,168,727
520,130,204,725
540,130,204,573
480,110,192,401
500,110,204,759
520,110,204,532
540,110,192,431
