X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,184,618
620,850,204,587
640,850,192,618
660,850,176,82
580,830,192,82
600,830,192,374
620,830,204,453
640,830,184,374
610,810,192,235
630,810,184,618
650,810,184,147
670,810,184,618
620,790,168,618
640,790,168,82
660,790,176,615
680,790,168,617
610,770,160,412
630,770,184,618
650,770,168,416
670,770,176,412
600,750,176,242
620,750,160,381
640,750,168,401
660,750,184,62
590,730,184,242
610,730,176,615
630,730,176,144
650,730,160,144
580,710,184,416
600,710,184,414
620,710,168,796
640,710,176,409
580,690,176,616
600,690,176,617
620,690,160,418
640,690,152,63
580,670,176,391
600,670,176,618
620,670,152,418
640,670,176,62
570,650,184,69
590,650,176,242
610,650,152,634
630,650,176,242
570,630,160,418
590,630,168,248
610,630,160,144
630,630,176,638
570,610,152,424
590,610,184,144
610,610,192,638
630,610,152,633
560,590,192,544
580,590,168,390
600,590,204,516
620,590,184,402
550,570,204,500
570,570,192,609
590,570,204,434
610,570,168,417
530,550,160,379
550,550,160,434
570,550,144,615
590,550,152,420
510,530,168,407
530,530,152,615
550,530,160,379
570,530,160,418
510,510,144,615
530,510,184,435
550,510,168,413
570,510,144,569
510,490,160,617
530,490,184,771
550,490,176,617
570,490,176,796
500,470,192,790
520,470,192,407
540,470,204,750
560,470,176,647
500,450,184,618
520,450,188,434
540,450,192,616
560,450,184,407
490,430,204,595
510,430,192,424
530,430,184,407
550,430,192,789
470,410,176,165
490,410,204,625
510,410,184,465
530,410,204,645
480,390,184,618
500,390,152,564
520,390,168,448
540,390,168,69
490,370,128,490
510,370,184,438
530,370,176,428
550,370,176,443
490,350,136,573
510,350,176,434
530,350,184,443
550,350,168,241
480,330,152,402
500,330,184,624
520,330,184,541
540,330,184,751
480,310,160,781
500,310,184,462
520,310,184,541
540,310,184,409
480,290,224,559
500,290,176,774
520,290,192,597
540,290,192,563
480,270,232,640
500,270,168,774
520,270,232,588
540,270,240,590
480,250,248,525
500,250,224,563
520,250,272,596
540,250,168,406
470,230,192,563
490,230,204,512
510,230,248,789
530,230,160,596
480,210,136,596
500,210,320,649
520,210,192,634
540,210,204,428
480,190,192,564
500,190,192,165
520,190,204,428
540,190,216,789
480,170,192,407
500,170,192,801
520,170,216,753
540,170,216,416
480,150,204,604
500,150,204,796
520,150,204,564
540,150,204,400
480,130,204,409
500,130,168,541
520,130,204,796
540,130,184,615
480,110,216,599
500,110,216,69
520,110,204,402
540,110,192,402
