X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,66,115
620,850,344,414
640,850,180,545
660,850,198,40
590,830,148,711
610,830,312,708
630,830,148,436
650,830,328,21
590,810,344,43
610,810,34,707
630,810,198,444
650,810,164,806
600,790,328,556
620,790,262,55
640,790,18,80
660,790,198,52
600,770,164,493
620,770,82,356
640,770,0,604
660,770,82,392
590,750,50,566
610,750,262,431
630,750,344,39
650,750,198,67
590,730,148,431
610,730,296,465
630,730,214,422
650,730,180,770
580,710,230,345
600,710,180,563
620,710,132,430
640,710,100,547
570,690,344,100
590,690,280,442
610,690,132,441
630,690,34,465
570,670,214,248
590,670,66,43
610,670,280,439
630,670,246,219
570,650,164,430
590,650,66,51
610,650,328,115
630,650,296,143
570,630,214,241
590,630,50,43
610,630,296,581
630,630,132,492
570,610,164,272
590,610,116,431
610,610,198,254
630,610,312,563
570,590,66,602
590,590,296,399
610,590,0,64
630,590,100,389
560,570,148,476
580,570,66,602
600,570,328,572
620,570,148,272
540,550,230,153
560,550,230,481
580,550,0,45
600,550,82,721
520,530,214,776
540,530,50,104
560,530,148,51
580,530,230,490
510,510,280,50
530,510,198,456
550,510,230,272
570,510,82,402
500,490,296,67
520,490,66,779
540,490,280,772
560,490,198,807
500,470,82,44
520,470,312,439
540,470,116,385
560,470,100,353
500,450,132,769
520,450,116,152
540,450,344,546
560,450,82,436
490,430,262,356
510,430,116,36
530,430,230,548
550,430,116,751
470,410,230,759
490,410,180,570
510,410,214,64
530,410,132,384
480,390,0,671
500,390,180,699
520,390,82,790
540,390,34,405
480,370,18,388
500,370,100,388
520,370,116,779
540,370,116,779
490,350,82,405
510,350,164,609
530,350,280,433
550,350,198,432
480,330,246,801
500,330,0,783
520,330,214,586
540,330,164,464
470,310,132,791
490,310,66,397
510,310,148,407
530,310,246,365
470,290,0,433
490,290,34,536
510,290,82,779
530,290,116,474
470,270,230,382
490,270,34,612
510,270,262,431
530,270,214,743
470,250,214,603
490,250,50,547
510,250,0,790
530,250,116,436
470,230,132,431
490,230,214,547
510,230,214,547
530,230,132,464
470,210,198,570
490,210,148,43
510,210,50,431
530,210,262,490
470,190,296,544
490,190,180,811
510,190,328,464
530,190,344,567
470,170,18,730
490,170,296,545
510,170,180,549
530,170,328,605
480,150,198,399
500,150,100,465
520,150,164,443
540,150,214,355
490,130,296,431
510,130,180,748
530,130,180,67
550,130,50,545
480,110,132,582
500,110,164,392
520,110,198,67
540,110,50,399
