X_COOR,Y_COOR,HEADING
610,850,164
630,850,112
650,850,112
600,830,210
620,830,112
640,830,112
600,810,112
620,810,248
640,810,160
610,790,112
630,790,180
650,790,108
610,770,160
630,770,168
650,770,156
600,750,160
620,750,160
640,750,124
600,730,128
620,730,136
640,730,356
590,710,124
610,710,124
630,710,184
580,690,172
600,690,180
620,690,156
580,670,164
600,670,152
620,670,148
580,650,128
600,650,140
620,650,168
580,630,164
600,630,164
620,630,184
580,610,152
600,610,172
620,610,210
580,590,152
600,590,152
620,590,198
570,570,120
590,570,144
610,570,148
550,550,76
570,550,120
590,550,168
530,530,140
550,530,156
570,530,124
520,510,172
540,510,156
560,510,160
510,490,176
530,490,128
550,490,160
510,470,172
530,470,164
550,470,164
510,450,176
530,450,176
550,450,176
500,430,156
520,430,176
540,430,176
480,410,168
500,410,172
520,410,184
490,390,96
510,390,172
530,390,160
490,370,176
510,370,160
530,370,176
500,350,80
520,350,80
540,350,80
490,330,168
510,330,192
530,330,168
480,310,244
500,310,164
520,310,192
480,290,180
500,290,198
520,290,116
480,270,156
500,270,188
520,270,128
480,250,188
500,250,236
520,250,136
480,230,108
500,230,128
520,230,264
480,210,228
500,210,128
520,210,20
480,190,148
500,190,188
520,190,116
480,170,116
500,170,136
520,170,176
490,150,100
510,150,220
530,150,172
500,130,204
520,130,172
540,130,176
490,110,176
510,110,160
530,110,168
