X_COOR,Y_COOR,HEADING
600,850,108
620,850,178
640,850,182
660,850,160
590,830,176
610,830,186
630,830,162
650,830,158
590,810,130
610,810,250
630,810,160
650,810,158
600,790,174
620,790,162
640,790,162
660,790,158
600,770,162
620,770,152
640,770,160
660,770,156
590,750,154
610,750,158
630,750,156
650,750,156
590,730,170
610,730,160
630,730,178
650,730,222
580,710,134
600,710,180
620,710,162
640,710,156
570,690,168
590,690,158
610,690,176
630,690,174
570,670,150
590,670,156
610,670,184
630,670,160
570,650,164
590,650,174
610,650,168
630,650,172
570,630,172
590,630,166
610,630,190
630,630,188
570,610,150
590,610,158
610,610,202
630,610,176
570,590,140
590,590,150
610,590,166
630,590,166
560,570,134
580,570,156
600,570,142
620,570,162
540,550,130
560,550,172
580,550,154
600,550,150
520,530,140
540,530,106
560,530,160
580,530,164
510,510,174
530,510,164
550,510,164
570,510,194
500,490,182
520,490,172
540,490,160
560,490,170
500,470,152
520,470,168
540,470,178
560,470,162
500,450,170
520,450,170
540,450,174
560,450,142
490,430,172
510,430,172
530,430,144
550,430,144
470,410,162
490,410,160
510,410,212
530,410,234
480,390,156
500,390,158
520,390,166
540,390,156
480,370,124
500,370,166
520,370,172
540,370,170
490,350,138
510,350,164
530,350,142
550,350,172
480,330,170
500,330,136
520,330,168
540,330,166
470,310,152
490,310,198
510,310,156
530,310,156
470,290,180
490,290,154
510,290,194
530,290,168
470,270,162
490,270,170
510,270,170
530,270,178
470,250,170
490,250,132
510,250,202
530,250,174
470,230,206
490,230,276
510,230,182
530,230,212
470,210,182
490,210,200
510,210,202
530,210,198
470,190,138
490,190,176
510,190,212
530,190,204
470,170,232
490,170,214
510,170,168
530,170,162
480,150,150
500,150,154
520,150,200
540,150,204
490,130,162
510,130,182
530,130,190
550,130,178
480,110,168
500,110,162
520,110,172
540,110,172
