X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,192,492
620,850,210,34
640,850,224,34
660,850,224,34
590,830,160,272
610,830,168,273
630,830,168,272
650,830,210,64
590,810,200,781
610,810,184,116
630,810,216,64
650,810,192,34
600,790,192,548
620,790,210,34
640,790,216,64
660,790,224,62
600,770,184,781
620,770,216,64
640,770,210,34
660,770,210,64
590,750,184,548
610,750,216,64
630,750,224,34
650,750,210,64
590,730,210,64
610,730,176,34
630,730,192,548
650,730,216,64
580,710,184,548
600,710,168,402
620,710,200,255
640,710,216,62
570,690,176,551
590,690,184,551
610,690,184,548
630,690,160,272
570,670,168,271
590,670,160,272
610,670,200,255
630,670,200,64
570,650,184,264
590,650,168,267
610,650,168,259
630,650,128,294
570,630,152,271
590,630,144,294
610,630,144,294
630,630,192,257
570,610,160,274
590,610,160,268
610,610,192,256
630,610,176,232
570,590,144,297
590,590,160,274
610,590,210,247
630,590,210,244
560,570,184,412
580,570,136,392
600,570,144,274
620,570,144,274
540,550,136,392
560,550,64,753
580,550,160,434
600,550,144,287
520,530,136,392
540,530,168,402
560,530,168,402
580,530,168,72
510,510,160,402
530,510,160,402
550,510,160,402
570,510,152,554
500,490,168,604
520,490,160,402
540,490,176,739
560,490,152,601
500,470,136,386
520,470,184,781
540,470,106,391
560,470,152,402
500,450,136,793
520,450,152,402
540,450,184,781
560,450,152,402
490,430,152,402
510,430,200,603
530,430,152,402
550,430,144,592
470,410,184,549
490,410,224,550
510,410,152,402
530,410,176,470
480,390,184,781
500,390,168,554
520,390,168,612
540,390,152,402
480,370,136,402
500,370,168,554
520,370,176,548
540,370,168,781
490,350,168,781
510,350,192,402
530,350,168,416
550,350,144,593
480,330,152,548
500,330,136,402
520,330,176,551
540,330,184,548
470,310,144,593
490,310,144,592
510,310,160,402
530,310,192,402
470,290,152,592
490,290,160,402
510,290,152,593
530,290,192,805
470,270,152,551
490,270,232,806
510,270,152,781
530,270,304,769
470,250,216,793
490,250,232,551
510,250,72,799
530,250,224,788
470,230,176,781
490,230,200,781
510,230,216,416
530,230,240,609
470,210,168,795
490,210,192,408
510,210,160,795
530,210,200,636
470,190,144,739
490,190,216,781
510,190,192,626
530,190,192,626
470,170,184,592
490,170,176,591
510,170,248,551
530,170,210,781
480,150,224,785
500,150,192,781
520,150,200,781
540,150,210,550
490,130,88,469
510,130,176,415
530,130,210,781
550,130,210,739
480,110,192,781
500,110,200,788
520,110,152,402
540,110,176,416
