X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,112,464
620,850,112,464
640,850,112,464
660,850,160,424
590,830,176,772
610,830,184,45
630,830,112,464
650,830,112,464
590,810,184,249
610,810,248,59
630,810,156,424
650,810,108,464
600,790,160,422
620,790,160,597
640,790,108,464
660,790,156,422
600,770,160,424
620,770,144,400
640,770,156,424
660,770,156,422
590,750,160,424
610,750,160,424
630,750,124,464
650,750,176,425
590,730,172,563
610,730,184,772
630,730,92,464
650,730,176,425
580,710,136,408
600,710,160,422
620,710,136,597
640,710,148,792
570,690,200,620
590,690,124,464
610,690,156,422
630,690,172,425
570,670,136,462
590,670,164,422
610,670,188,597
630,670,184,772
570,650,156,422
590,650,168,422
610,650,164,266
630,650,188,257
570,630,164,421
590,630,164,265
610,630,188,257
630,630,204,253
570,610,148,287
590,610,156,273
610,610,204,252
630,610,176,231
570,590,140,301
590,590,148,268
610,590,200,253
630,590,200,245
560,570,132,287
580,570,152,283
600,570,172,424
620,570,152,277
540,550,128,346
560,550,156,422
580,550,156,424
600,550,168,422
520,530,136,391
540,530,176,562
560,530,160,422
580,530,96,624
510,510,172,423
530,510,160,403
550,510,164,561
570,510,148,561
500,490,168,563
520,490,172,424
540,490,168,422
560,490,152,573
500,470,172,424
520,470,172,424
540,470,180,424
560,470,160,561
500,450,132,421
520,450,176,563
540,450,160,624
560,450,160,563
490,430,172,620
510,430,140,424
530,430,164,624
550,430,164,624
470,410,320,784
490,410,168,424
510,410,168,620
530,410,172,620
480,390,312,790
500,390,0,758
520,390,172,620
540,390,176,562
480,370,108,397
500,370,172,424
520,370,176,423
540,370,168,620
490,350,164,565
510,350,164,565
530,350,168,563
550,350,172,423
480,330,198,424
500,330,156,563
520,330,168,563
540,330,160,624
470,310,198,424
490,310,164,570
510,310,168,563
530,310,168,563
470,290,240,424
490,290,198,425
510,290,200,424
530,290,96,750
470,270,28,751
490,270,160,603
510,270,192,422
530,270,144,758
470,250,164,424
490,250,200,424
510,250,264,624
530,250,128,464
470,230,188,751
490,230,120,466
510,230,140,464
530,230,212,424
470,210,108,466
490,210,128,464
510,210,136,424
530,210,4,758
470,190,132,418
490,190,180,438
510,190,176,424
530,190,352,782
470,170,116,464
490,170,168,597
510,170,112,464
530,170,192,620
480,150,100,464
500,150,100,464
520,150,204,620
540,150,180,603
490,130,216,563
510,130,176,424
530,130,172,424
550,130,180,424
480,110,136,589
500,110,160,421
520,110,192,603
540,110,172,424
