X_COOR,Y_COOR,HEADING,MATCHED_ROUTE_VIEW_IDX
600,850,176,504
620,850,232,29
640,850,200,541
660,850,168,499
580,830,184,266
600,830,200,71
620,830,184,418
640,830,256,29
610,810,168,8
630,810,280,28
650,810,264,40
670,810,280,29
620,790,168,538
640,790,184,80
660,790,184,80
680,790,280,29
610,770,144,287
630,770,200,541
650,770,264,28
670,770,248,29
600,750,256,29
620,750,152,424
640,750,184,91
660,750,272,34
590,730,192,541
610,730,256,34
630,730,184,541
650,730,144,407
580,710,184,541
600,710,176,564
620,710,184,541
640,710,160,287
580,690,184,541
600,690,176,564
620,690,272,29
640,690,184,541
580,670,176,564
600,670,192,541
620,670,136,304
640,670,184,541
570,650,144,264
590,650,184,541
610,650,152,267
630,650,144,264
570,630,192,541
590,630,136,290
610,630,168,264
630,630,168,244
570,610,152,298
590,610,152,287
610,610,160,268
630,610,168,245
560,590,184,447
580,590,152,291
600,590,152,285
620,590,168,264
550,570,160,486
570,570,160,316
590,570,152,408
610,570,176,424
530,550,152,364
550,550,216,303
570,550,152,424
590,550,152,639
510,530,144,410
530,530,176,413
550,530,168,424
570,530,152,287
510,510,168,564
530,510,160,424
550,510,152,299
570,510,152,308
510,490,168,564
530,490,160,390
550,490,168,414
570,490,144,287
500,470,152,406
520,470,144,406
540,470,168,413
560,470,184,804
500,450,152,410
520,450,152,410
540,450,160,588
560,450,160,413
490,430,160,407
510,430,168,618
530,430,160,587
550,430,168,606
470,410,160,428
490,410,240,786
510,410,144,287
530,410,136,409
480,390,160,428
500,390,160,451
520,390,168,564
540,390,160,402
490,370,64,746
510,370,160,563
530,370,160,409
550,370,168,564
490,350,168,586
510,350,144,424
530,350,176,564
550,350,168,615
480,330,136,564
500,330,136,564
520,330,168,564
540,330,200,586
480,310,320,780
500,310,144,564
520,310,168,564
540,310,152,407
480,290,216,541
500,290,160,564
520,290,176,586
540,290,144,410
480,270,288,794
500,270,168,794
520,270,136,794
540,270,224,588
480,250,200,795
500,250,224,794
520,250,320,794
540,250,240,615
470,230,160,802
490,230,216,618
510,230,224,428
530,230,160,615
480,210,184,795
500,210,240,800
520,210,192,409
540,210,200,634
480,190,176,790
500,190,224,795
520,190,200,617
540,190,200,618
480,170,136,806
500,170,240,800
520,170,216,794
540,170,224,618
480,150,48,791
500,150,224,588
520,150,224,795
540,150,200,618
480,130,160,409
500,130,152,564
520,130,224,794
540,130,184,424
480,110,232,615
500,110,216,794
520,110,192,592
540,110,168,615
