X [mm], Y [mm], Z [mm], Heading [degrees], Filename
6300, 8450, 1800, 234.888, image_00000.png
6291.82, 8444.25, 1800, 234.888, image_00001.png
6283.71, 8438.39, 1800, 234.173, image_00002.png
6275.68, 8432.44, 1800, 233.419, image_00003.png
6267.74, 8426.36, 1800, 232.611, image_00004.png
6259.88, 8420.17, 1800, 231.754, image_00005.png
6252.13, 8413.86, 1800, 230.838, image_00006.png
6244.49, 8407.41, 1800, 229.849, image_00007.png
6236.96, 8400.82, 1800, 228.795, image_00008.png
6229.57, 8394.09, 1800, 227.655, image_00009.png
6222.33, 8387.19, 1800, 226.422, image_00010.png
6215.24, 8380.13, 1800, 225.093, image_00011.png
6208.34, 8372.9, 1800, 223.642, image_00012.png
6201.64, 8365.47, 1800, 222.07, image_00013.png
6195.17, 8357.85, 1800, 220.348, image_00014.png
6188.94, 8350.02, 1800, 218.468, image_00015.png
6183.01, 8341.98, 1800, 216.401, image_00016.png
6177.4, 8333.7, 1800, 214.136, image_00017.png
6172.15, 8325.19, 1800, 211.636, image_00018.png
6167.32, 8316.43, 1800, 208.887, image_00019.png
6162.96, 8307.43, 1800, 205.864, image_00020.png
6159.12, 8298.2, 1800, 202.547, image_00021.png
6155.88, 8288.74, 1800, 198.925, image_00022.png
6153.28, 8279.08, 1800, 195.004, image_00023.png
6151.41, 8269.26, 1800, 190.791, image_00024.png
6150.31, 8259.32, 1800, 186.339, image_00025.png
6150.01, 8249.32, 1800, 181.703, image_00026.png
6150.53, 8239.34, 1800, 176.968, image_00027.png
6151.88, 8229.43, 1800, 172.235, image_00028.png
6154.03, 8219.66, 1800, 167.592, image_00029.png
6156.93, 8210.09, 1800, 163.129, image_00030.png
6160.53, 8200.76, 1800, 158.908, image_00031.png
6164.76, 8191.7, 1800, 154.977, image_00032.png
6169.55, 8182.93, 1800, 151.35, image_00033.png
6174.85, 8174.44, 1800, 148.026, image_00034.png
6180.58, 8166.25, 1800, 145.004, image_00035.png
6186.7, 8158.34, 1800, 142.256, image_00036.png
6193.16, 8150.71, 1800, 139.766, image_00037.png
6199.92, 8143.33, 1800, 137.508, image_00038.png
6206.93, 8136.21, 1800, 135.46, image_00039.png
6214.17, 8129.31, 1800, 133.594, image_00040.png
6221.62, 8122.63, 1800, 131.9, image_00041.png
6229.24, 8116.16, 1800, 130.349, image_00042.png
6237.02, 8109.87, 1800, 128.931, image_00043.png
6244.94, 8103.77, 1800, 127.635, image_00044.png
6252.98, 8097.83, 1800, 126.437, image_00045.png
6261.13, 8092.03, 1800, 125.428, image_00046.png
6269.35, 8086.34, 1800, 124.692, image_00047.png
6277.62, 8080.71, 1800, 124.22, image_00048.png
6285.91, 8075.12, 1800, 124.007, image_00049.png
6294.2, 8069.52, 1800, 124.04, image_00050.png
6302.46, 8063.89, 1800, 124.313, image_00051.png
6310.67, 8058.18, 1800, 124.827, image_00052.png
6318.8, 8052.36, 1800, 125.59, image_00053.png
6326.83, 8046.39, 1800, 126.604, image_00054.png
6334.72, 8040.25, 1800, 127.888, image_00055.png
6342.44, 8033.9, 1800, 129.453, image_00056.png
6349.95, 8027.3, 1800, 131.314, image_00057.png
6357.21, 8020.42, 1800, 133.493, image_00058.png
6364.15, 8013.22, 1800, 135.993, image_00059.png
6370.74, 8005.7, 1800, 138.842, image_00060.png
6376.89, 7997.81, 1800, 142.02, image_00061.png
6382.55, 7989.57, 1800, 145.526, image_00062.png
6387.66, 7980.97, 1800, 149.317, image_00063.png
6392.14, 7972.04, 1800, 153.342, image_00064.png
6395.97, 7962.8, 1800, 157.531, image_00065.png
6399.09, 7953.3, 1800, 161.787, image_00066.png
6401.51, 7943.59, 1800, 165.996, image_00067.png
6403.27, 7933.75, 1800, 169.869, image_00068.png
6404.45, 7923.82, 1800, 173.258, image_00069.png
6405.11, 7913.84, 1800, 176.214, image_00070.png
6405.32, 7903.84, 1800, 178.795, image_00071.png
6405.14, 7893.84, 1800, 181.044, image_00072.png
6404.61, 7883.86, 1800, 183.009, image_00073.png
6403.79, 7873.89, 1800, 184.734, image_00074.png
6402.7, 7863.95, 1800, 186.247, image_00075.png
6401.38, 7854.04, 1800, 187.581, image_00076.png
6399.86, 7844.16, 1800, 188.757, image_00077.png
6398.16, 7834.3, 1800, 189.797, image_00078.png
6396.3, 7824.48, 1800, 190.72, image_00079.png
6394.3, 7814.68, 1800, 191.532, image_00080.png
6392.18, 7804.91, 1800, 192.253, image_00081.png
6389.95, 7795.16, 1800, 192.889, image_00082.png
6387.62, 7785.43, 1800, 193.452, image_00083.png
6385.21, 7775.73, 1800, 193.944, image_00084.png
6382.73, 7766.04, 1800, 194.377, image_00085.png
6380.18, 7756.37, 1800, 194.755, image_00086.png
6377.58, 7746.71, 1800, 195.073, image_00087.png
6374.94, 7737.07, 1800, 195.351, image_00088.png
6372.25, 7727.44, 1800, 195.579, image_00089.png
6369.53, 7717.81, 1800, 195.768, image_00090.png
6366.79, 7708.2, 1800, 195.914, image_00091.png
6364.03, 7698.59, 1800, 196.025, image_00092.png
6361.26, 7688.98, 1800, 196.098, image_00093.png
6358.48, 7679.37, 1800, 196.136, image_00094.png
6355.7, 7669.77, 1800, 196.141, image_00095.png
6352.92, 7660.16, 1800, 196.115, image_00096.png
6350.16, 7650.55, 1800, 196.055, image_00097.png
6347.41, 7640.93, 1800, 195.968, image_00098.png
6344.67, 7631.32, 1800, 195.884, image_00099.png
6341.95, 7621.69, 1800, 195.806, image_00100.png
6339.23, 7612.07, 1800, 195.739, image_00101.png
6336.53, 7602.44, 1800, 195.674, image_00102.png
6333.84, 7592.81, 1800, 195.62, image_00103.png
6331.15, 7583.18, 1800, 195.571, image_00104.png
6328.48, 7573.54, 1800, 195.53, image_00105.png
6325.8, 7563.91, 1800, 195.499, image_00106.png
6323.14, 7554.27, 1800, 195.472, image_00107.png
6320.47, 7544.63, 1800, 195.45, image_00108.png
6317.81, 7534.99, 1800, 195.438, image_00109.png
6315.15, 7525.35, 1800, 195.434, image_00110.png
6312.49, 7515.71, 1800, 195.434, image_00111.png
6309.83, 7506.07, 1800, 195.441, image_00112.png
6307.16, 7496.44, 1800, 195.456, image_00113.png
6304.49, 7486.8, 1800, 195.476, image_00114.png
6301.82, 7477.16, 1800, 195.505, image_00115.png
6299.14, 7467.53, 1800, 195.543, image_00116.png
6296.45, 7457.89, 1800, 195.582, image_00117.png
6293.76, 7448.26, 1800, 195.637, image_00118.png
6291.05, 7438.64, 1800, 195.692, image_00119.png
6288.34, 7429.01, 1800, 195.755, image_00120.png
6285.61, 7419.39, 1800, 195.833, image_00121.png
6282.87, 7409.78, 1800, 195.91, image_00122.png
6280.11, 7400.16, 1800, 196.001, image_00123.png
6277.34, 7390.56, 1800, 196.099, image_00124.png
6274.55, 7380.95, 1800, 196.205, image_00125.png
6271.74, 7371.36, 1800, 196.321, image_00126.png
6268.91, 7361.76, 1800, 196.446, image_00127.png
6266.05, 7352.18, 1800, 196.581, image_00128.png
6263.18, 7342.6, 1800, 196.727, image_00129.png
6260.27, 7333.03, 1800, 196.882, image_00130.png
6257.34, 7323.47, 1800, 197.05, image_00131.png
6254.38, 7313.92, 1800, 197.229, image_00132.png
6251.39, 7304.38, 1800, 197.419, image_00133.png
6248.36, 7294.85, 1800, 197.621, image_00134.png
6245.3, 7285.33, 1800, 197.828, image_00135.png
6242.2, 7275.82, 1800, 198.021, image_00136.png
6239.08, 7266.32, 1800, 198.203, image_00137.png
6235.93, 7256.83, 1800, 198.374, image_00138.png
6232.75, 7247.35, 1800, 198.529, image_00139.png
6229.55, 7237.87, 1800, 198.674, image_00140.png
6226.33, 7228.41, 1800, 198.805, image_00141.png
6223.09, 7218.95, 1800, 198.919, image_00142.png
6219.83, 7209.49, 1800, 199.018, image_00143.png
6216.55, 7200.05, 1800, 199.101, image_00144.png
6213.27, 7190.6, 1800, 199.169, image_00145.png
6209.98, 7181.16, 1800, 199.217, image_00146.png
6206.68, 7171.72, 1800, 199.25, image_00147.png
6203.38, 7162.28, 1800, 199.263, image_00148.png
6200.09, 7152.84, 1800, 199.257, image_00149.png
6196.79, 7143.39, 1800, 199.229, image_00150.png
6193.51, 7133.95, 1800, 199.187, image_00151.png
6190.23, 7124.5, 1800, 199.12, image_00152.png
6186.97, 7115.05, 1800, 199.035, image_00153.png
6183.73, 7105.59, 1800, 198.925, image_00154.png
6180.5, 7096.12, 1800, 198.797, image_00155.png
6177.3, 7086.65, 1800, 198.648, image_00156.png
6174.14, 7077.16, 1800, 198.477, image_00157.png
6171, 7067.67, 1800, 198.28, image_00158.png
6167.9, 7058.16, 1800, 198.068, image_00159.png
6164.83, 7048.64, 1800, 197.829, image_00160.png
6161.81, 7039.11, 1800, 197.57, image_00161.png
6158.84, 7029.56, 1800, 197.29, image_00162.png
6155.92, 7020, 1800, 196.989, image_00163.png
6153.05, 7010.42, 1800, 196.669, image_00164.png
6150.24, 7000.82, 1800, 196.324, image_00165.png
6147.49, 6991.21, 1800, 195.965, image_00166.png
6144.8, 6981.57, 1800, 195.596, image_00167.png
6142.17, 6971.93, 1800, 195.22, image_00168.png
6139.61, 6962.26, 1800, 194.838, image_00169.png
6137.11, 6952.58, 1800, 194.448, image_00170.png
6134.68, 6942.88, 1800, 194.053, image_00171.png
6132.32, 6933.16, 1800, 193.648, image_00172.png
6130.03, 6923.42, 1800, 193.236, image_00173.png
6127.81, 6913.67, 1800, 192.822, image_00174.png
6125.66, 6903.91, 1800, 192.396, image_00175.png
6123.59, 6894.12, 1800, 191.961, image_00176.png
6121.59, 6884.33, 1800, 191.524, image_00177.png
6119.67, 6874.51, 1800, 191.076, image_00178.png
6117.82, 6864.68, 1800, 190.62, image_00179.png
6116.06, 6854.84, 1800, 190.157, image_00180.png
6114.38, 6844.98, 1800, 189.685, image_00181.png
6112.77, 6835.11, 1800, 189.208, image_00182.png
6111.26, 6825.23, 1800, 188.717, image_00183.png
6109.83, 6815.33, 1800, 188.225, image_00184.png
6108.48, 6805.42, 1800, 187.718, image_00185.png
6107.22, 6795.5, 1800, 187.208, image_00186.png
6106.06, 6785.57, 1800, 186.682, image_00187.png
6104.99, 6775.63, 1800, 186.155, image_00188.png
6104, 6765.68, 1800, 185.617, image_00189.png
6103.12, 6755.72, 1800, 185.068, image_00190.png
6102.33, 6745.75, 1800, 184.512, image_00191.png
6101.64, 6735.77, 1800, 183.948, image_00192.png
6101.05, 6725.79, 1800, 183.373, image_00193.png
6100.56, 6715.8, 1800, 182.788, image_00194.png
6100.18, 6705.81, 1800, 182.194, image_00195.png
6099.9, 6695.81, 1800, 181.595, image_00196.png
6099.72, 6685.81, 1800, 181.011, image_00197.png
6099.63, 6675.81, 1800, 180.475, image_00198.png
6099.63, 6665.81, 1800, 179.992, image_00199.png
6099.71, 6655.81, 1800, 179.552, image_00200.png
6099.85, 6645.81, 1800, 179.167, image_00201.png
6100.06, 6635.82, 1800, 178.828, image_00202.png
6100.31, 6625.82, 1800, 178.541, image_00203.png
6100.61, 6615.82, 1800, 178.304, image_00204.png
6100.93, 6605.83, 1800, 178.115, image_00205.png
6101.29, 6595.84, 1800, 177.975, image_00206.png
6101.65, 6585.84, 1800, 177.888, image_00207.png
6102.03, 6575.85, 1800, 177.847, image_00208.png
6102.4, 6565.86, 1800, 177.86, image_00209.png
6102.77, 6555.86, 1800, 177.923, image_00210.png
6103.11, 6545.87, 1800, 178.036, image_00211.png
6103.42, 6535.87, 1800, 178.202, image_00212.png
6103.7, 6525.88, 1800, 178.416, image_00213.png
6103.93, 6515.88, 1800, 178.689, image_00214.png
6104.1, 6505.88, 1800, 179.011, image_00215.png
6104.21, 6495.88, 1800, 179.388, image_00216.png
6104.25, 6485.88, 1800, 179.817, image_00217.png
6104.2, 6475.88, 1800, 180.306, image_00218.png
6104.05, 6465.88, 1800, 180.85, image_00219.png
6103.8, 6455.89, 1800, 181.448, image_00220.png
6103.43, 6445.89, 1800, 182.104, image_00221.png
6102.95, 6435.91, 1800, 182.82, image_00222.png
6102.32, 6425.92, 1800, 183.592, image_00223.png
6101.56, 6415.95, 1800, 184.422, image_00224.png
6100.63, 6406, 1800, 185.315, image_00225.png
6099.55, 6396.06, 1800, 186.261, image_00226.png
6098.3, 6386.13, 1800, 187.209, image_00227.png
6096.89, 6376.23, 1800, 188.097, image_00228.png
6095.34, 6366.35, 1800, 188.924, image_00229.png
6093.66, 6356.5, 1800, 189.682, image_00230.png
6091.86, 6346.66, 1800, 190.386, image_00231.png
6089.96, 6336.84, 1800, 191.023, image_00232.png
6087.95, 6327.05, 1800, 191.605, image_00233.png
6085.85, 6317.27, 1800, 192.124, image_00234.png
6083.67, 6307.51, 1800, 192.582, image_00235.png
6081.43, 6297.76, 1800, 192.981, image_00236.png
6079.13, 6288.03, 1800, 193.316, image_00237.png
6076.78, 6278.31, 1800, 193.584, image_00238.png
6074.4, 6268.6, 1800, 193.784, image_00239.png
6071.99, 6258.89, 1800, 193.908, image_00240.png
6069.58, 6249.19, 1800, 193.953, image_00241.png
6067.18, 6239.48, 1800, 193.908, image_00242.png
6064.8, 6229.77, 1800, 193.76, image_00243.png
6062.46, 6220.05, 1800, 193.502, image_00244.png
6060.19, 6210.31, 1800, 193.104, image_00245.png
6058.02, 6200.55, 1800, 192.55, image_00246.png
6055.97, 6190.76, 1800, 191.802, image_00247.png
6054.09, 6180.94, 1800, 190.811, image_00248.png
6052.43, 6171.08, 1800, 189.509, image_00249.png
6051.07, 6161.17, 1800, 187.797, image_00250.png
6050.09, 6151.22, 1800, 185.527, image_00251.png
6049.63, 6141.23, 1800, 182.583, image_00252.png
6049.72, 6131.23, 1800, 179.377, image_00253.png
6050.36, 6121.25, 1800, 176.235, image_00254.png
6051.5, 6111.31, 1800, 173.415, image_00255.png
6053.01, 6101.43, 1800, 171.234, image_00256.png
6054.74, 6091.58, 1800, 170.022, image_00257.png
6056.47, 6081.73, 1800, 170.036, image_00258.png
6057.97, 6071.84, 1800, 171.4, image_00259.png
6059.02, 6061.9, 1800, 174.033, image_00260.png
6059.45, 6051.91, 1800, 177.655, image_00261.png
6059.15, 6041.92, 1800, 181.837, image_00262.png
6058.1, 6031.97, 1800, 186.155, image_00263.png
6056.33, 6022.13, 1800, 190.262, image_00264.png
6053.93, 6012.42, 1800, 193.982, image_00265.png
6050.98, 6002.87, 1800, 197.244, image_00266.png
6047.57, 5993.47, 1800, 200.04, image_00267.png
6043.79, 5984.21, 1800, 202.269, image_00268.png
6039.73, 5975.07, 1800, 204.018, image_00269.png
6035.44, 5966.04, 1800, 205.431, image_00270.png
6030.97, 5957.09, 1800, 206.599, image_00271.png
6026.34, 5948.23, 1800, 207.584, image_00272.png
6021.58, 5939.43, 1800, 208.42, image_00273.png
6016.72, 5930.7, 1800, 209.147, image_00274.png
6011.75, 5922.02, 1800, 209.782, image_00275.png
6006.7, 5913.38, 1800, 210.338, image_00276.png
6001.58, 5904.8, 1800, 210.831, image_00277.png
5996.39, 5896.25, 1800, 211.272, image_00278.png
5991.14, 5887.74, 1800, 211.663, image_00279.png
5985.84, 5879.26, 1800, 212.015, image_00280.png
5980.5, 5870.81, 1800, 212.33, image_00281.png
5975.11, 5862.38, 1800, 212.616, image_00282.png
5969.68, 5853.98, 1800, 212.871, image_00283.png
5964.22, 5845.6, 1800, 213.097, image_00284.png
5958.73, 5837.25, 1800, 213.3, image_00285.png
5953.22, 5828.9, 1800, 213.482, image_00286.png
5947.68, 5820.58, 1800, 213.642, image_00287.png
5942.12, 5812.27, 1800, 213.776, image_00288.png
5936.54, 5803.96, 1800, 213.896, image_00289.png
5930.95, 5795.67, 1800, 213.994, image_00290.png
5925.35, 5787.39, 1800, 214.065, image_00291.png
5919.74, 5779.11, 1800, 214.121, image_00292.png
5914.13, 5770.84, 1800, 214.152, image_00293.png
5908.51, 5762.56, 1800, 214.159, image_00294.png
5902.9, 5754.28, 1800, 214.137, image_00295.png
5897.3, 5746, 1800, 214.088, image_00296.png
5891.7, 5737.71, 1800, 214.029, image_00297.png
5886.11, 5729.42, 1800, 213.995, image_00298.png
5880.52, 5721.13, 1800, 213.992, image_00299.png
5874.92, 5712.84, 1800, 214.018, image_00300.png
5869.32, 5704.56, 1800, 214.077, image_00301.png
5863.7, 5696.29, 1800, 214.183, image_00302.png
5858.06, 5688.03, 1800, 214.328, image_00303.png
5852.4, 5679.79, 1800, 214.521, image_00304.png
5846.7, 5671.57, 1800, 214.765, image_00305.png
5840.95, 5663.39, 1800, 215.059, image_00306.png
5835.16, 5655.23, 1800, 215.398, image_00307.png
5829.32, 5647.12, 1800, 215.788, image_00308.png
5823.41, 5639.05, 1800, 216.221, image_00309.png
5817.44, 5631.03, 1800, 216.695, image_00310.png
5811.39, 5623.07, 1800, 217.196, image_00311.png
5805.28, 5615.15, 1800, 217.727, image_00312.png
5799.08, 5607.3, 1800, 218.27, image_00313.png
5792.82, 5599.51, 1800, 218.829, image_00314.png
5786.47, 5591.78, 1800, 219.389, image_00315.png
5780.06, 5584.11, 1800, 219.942, image_00316.png
5773.57, 5576.5, 1800, 220.489, image_00317.png
5767, 5568.96, 1800, 221.022, image_00318.png
5760.38, 5561.47, 1800, 221.534, image_00319.png
5753.68, 5554.04, 1800, 222.03, image_00320.png
5746.93, 5546.66, 1800, 222.5, image_00321.png
5740.12, 5539.34, 1800, 222.902, image_00322.png
5733.28, 5532.05, 1800, 223.213, image_00323.png
5726.4, 5524.78, 1800, 223.429, image_00324.png
