RUNNING ON: cuda
Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.67063 | Val Loss: 0.67065 | Train Acc: 63.792 | Val Acc: 66.581
Epoch 02: | Train Loss: 0.65483 | Val Loss: 0.64594 | Train Acc: 65.979 | Val Acc: 66.581
Epoch 03: | Train Loss: 0.64164 | Val Loss: 0.63734 | Train Acc: 66.708 | Val Acc: 66.581
Epoch 04: | Train Loss: 0.63869 | Val Loss: 0.63730 | Train Acc: 66.688 | Val Acc: 66.581
Epoch 05: | Train Loss: 0.64143 | Val Loss: 0.63721 | Train Acc: 66.333 | Val Acc: 66.581
Epoch 06: | Train Loss: 0.63997 | Val Loss: 0.64016 | Train Acc: 66.458 | Val Acc: 66.581
Epoch 07: | Train Loss: 0.63901 | Val Loss: 0.63929 | Train Acc: 66.396 | Val Acc: 66.581
Epoch 08: | Train Loss: 0.64026 | Val Loss: 0.63713 | Train Acc: 66.333 | Val Acc: 66.581
Epoch 09: | Train Loss: 0.64102 | Val Loss: 0.63826 | Train Acc: 66.375 | Val Acc: 66.581
Epoch 10: | Train Loss: 0.63953 | Val Loss: 0.63912 | Train Acc: 66.646 | Val Acc: 66.581
Epoch 11: | Train Loss: 0.64083 | Val Loss: 0.63711 | Train Acc: 66.542 | Val Acc: 66.581
Epoch 12: | Train Loss: 0.63883 | Val Loss: 0.63717 | Train Acc: 66.458 | Val Acc: 66.581
Epoch 13: | Train Loss: 0.63801 | Val Loss: 0.63755 | Train Acc: 66.646 | Val Acc: 66.581
Epoch 14: | Train Loss: 0.64012 | Val Loss: 0.63756 | Train Acc: 66.333 | Val Acc: 66.581
Epoch 15: | Train Loss: 0.63795 | Val Loss: 0.63711 | Train Acc: 66.583 | Val Acc: 66.581
Epoch 16: | Train Loss: 0.63852 | Val Loss: 0.63711 | Train Acc: 66.438 | Val Acc: 66.581
Epoch 17: | Train Loss: 0.63859 | Val Loss: 0.63713 | Train Acc: 66.438 | Val Acc: 66.581
Epoch 18: | Train Loss: 0.63763 | Val Loss: 0.63718 | Train Acc: 66.479 | Val Acc: 66.581
Epoch 19: | Train Loss: 0.63774 | Val Loss: 0.63718 | Train Acc: 66.583 | Val Acc: 66.581
Epoch 20: | Train Loss: 0.63833 | Val Loss: 0.63733 | Train Acc: 66.396 | Val Acc: 66.581
Epoch 21: | Train Loss: 0.63965 | Val Loss: 0.63732 | Train Acc: 66.521 | Val Acc: 66.581
Epoch 22: | Train Loss: 0.63911 | Val Loss: 0.63718 | Train Acc: 66.396 | Val Acc: 66.581
Epoch 23: | Train Loss: 0.63884 | Val Loss: 0.63711 | Train Acc: 66.312 | Val Acc: 66.581
Epoch 24: | Train Loss: 0.63808 | Val Loss: 0.63714 | Train Acc: 66.375 | Val Acc: 66.581
Epoch 25: | Train Loss: 0.63992 | Val Loss: 0.63733 | Train Acc: 66.167 | Val Acc: 66.581
Epoch 26: | Train Loss: 0.64014 | Val Loss: 0.63711 | Train Acc: 66.271 | Val Acc: 66.581
Epoch 27: | Train Loss: 0.63602 | Val Loss: 0.63711 | Train Acc: 66.729 | Val Acc: 66.581
Epoch 28: | Train Loss: 0.63742 | Val Loss: 0.63714 | Train Acc: 66.583 | Val Acc: 66.581
Epoch 29: | Train Loss: 0.63857 | Val Loss: 0.63716 | Train Acc: 66.500 | Val Acc: 66.581
Epoch 30: | Train Loss: 0.63734 | Val Loss: 0.63712 | Train Acc: 66.583 | Val Acc: 66.581
