Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.64441 | Val Loss: 0.63127 | Train Acc: 65.417 | Val Acc: 66.333
Epoch 02: | Train Loss: 0.62943 | Val Loss: 0.64691 | Train Acc: 66.333 | Val Acc: 66.667
Epoch 03: | Train Loss: 0.62754 | Val Loss: 0.61594 | Train Acc: 66.111 | Val Acc: 66.583
Epoch 04: | Train Loss: 0.60364 | Val Loss: 0.54372 | Train Acc: 67.278 | Val Acc: 69.125
Epoch 05: | Train Loss: 0.53080 | Val Loss: 0.42063 | Train Acc: 74.861 | Val Acc: 81.250
Epoch 06: | Train Loss: 0.44692 | Val Loss: 0.35298 | Train Acc: 78.583 | Val Acc: 87.167
Epoch 07: | Train Loss: 0.40340 | Val Loss: 0.32265 | Train Acc: 80.861 | Val Acc: 84.208
Epoch 08: | Train Loss: 0.35761 | Val Loss: 0.29996 | Train Acc: 84.472 | Val Acc: 88.750
Epoch 09: | Train Loss: 0.33606 | Val Loss: 0.27592 | Train Acc: 85.333 | Val Acc: 89.000
Epoch 10: | Train Loss: 0.30904 | Val Loss: 0.26200 | Train Acc: 86.917 | Val Acc: 88.833
Epoch 11: | Train Loss: 0.36628 | Val Loss: 0.30976 | Train Acc: 84.167 | Val Acc: 87.667
Epoch 12: | Train Loss: 0.27970 | Val Loss: 0.28268 | Train Acc: 87.639 | Val Acc: 89.042
Epoch 13: | Train Loss: 0.27821 | Val Loss: 0.27567 | Train Acc: 88.389 | Val Acc: 87.083
Epoch 14: | Train Loss: 0.34440 | Val Loss: 0.88588 | Train Acc: 86.111 | Val Acc: 58.375
Epoch 15: | Train Loss: 0.37882 | Val Loss: 0.37574 | Train Acc: 83.167 | Val Acc: 82.875
Epoch 16: | Train Loss: 0.28106 | Val Loss: 0.28349 | Train Acc: 87.556 | Val Acc: 89.208
Epoch 17: | Train Loss: 0.25154 | Val Loss: 0.31636 | Train Acc: 89.500 | Val Acc: 85.333
Epoch 18: | Train Loss: 0.29416 | Val Loss: 0.25236 | Train Acc: 86.833 | Val Acc: 88.875
Epoch 19: | Train Loss: 0.29981 | Val Loss: 0.35091 | Train Acc: 86.444 | Val Acc: 83.083
Epoch 20: | Train Loss: 0.27265 | Val Loss: 0.59783 | Train Acc: 89.528 | Val Acc: 76.000
Epoch 21: | Train Loss: 0.35899 | Val Loss: 0.34131 | Train Acc: 85.417 | Val Acc: 83.208
Epoch 22: | Train Loss: 0.25268 | Val Loss: 0.41913 | Train Acc: 89.444 | Val Acc: 80.625
Epoch 23: | Train Loss: 0.26804 | Val Loss: 0.23088 | Train Acc: 88.917 | Val Acc: 89.958
Epoch 24: | Train Loss: 0.26351 | Val Loss: 0.25125 | Train Acc: 88.389 | Val Acc: 90.083
Epoch 25: | Train Loss: 0.26243 | Val Loss: 0.24257 | Train Acc: 87.861 | Val Acc: 90.167
Epoch 26: | Train Loss: 0.24922 | Val Loss: 0.22928 | Train Acc: 89.194 | Val Acc: 90.292
Epoch 27: | Train Loss: 0.25564 | Val Loss: 0.26244 | Train Acc: 89.389 | Val Acc: 88.667
Epoch 28: | Train Loss: 0.22434 | Val Loss: 0.44599 | Train Acc: 90.778 | Val Acc: 81.250
Epoch 29: | Train Loss: 0.23074 | Val Loss: 0.22717 | Train Acc: 90.917 | Val Acc: 91.083
Epoch 30: | Train Loss: 0.25268 | Val Loss: 0.24829 | Train Acc: 89.306 | Val Acc: 89.500
Epoch 31: | Train Loss: 0.20971 | Val Loss: 0.23035 | Train Acc: 91.861 | Val Acc: 90.583
Epoch 32: | Train Loss: 0.22333 | Val Loss: 0.35625 | Train Acc: 90.639 | Val Acc: 85.167
Epoch 33: | Train Loss: 0.24920 | Val Loss: 0.25391 | Train Acc: 89.111 | Val Acc: 89.042
Epoch 34: | Train Loss: 0.22941 | Val Loss: 0.21978 | Train Acc: 91.167 | Val Acc: 91.250
Epoch 35: | Train Loss: 0.19648 | Val Loss: 0.24721 | Train Acc: 92.278 | Val Acc: 89.458
Epoch 36: | Train Loss: 0.20216 | Val Loss: 0.22402 | Train Acc: 91.889 | Val Acc: 90.458
Epoch 37: | Train Loss: 0.20248 | Val Loss: 0.22018 | Train Acc: 91.778 | Val Acc: 90.875
Epoch 38: | Train Loss: 0.20729 | Val Loss: 0.24779 | Train Acc: 92.083 | Val Acc: 89.875
Epoch 39: | Train Loss: 0.23288 | Val Loss: 0.24333 | Train Acc: 90.861 | Val Acc: 89.292
Epoch 40: | Train Loss: 0.23209 | Val Loss: 0.27564 | Train Acc: 90.333 | Val Acc: 87.500
Epoch 41: | Train Loss: 0.19491 | Val Loss: 0.34381 | Train Acc: 92.472 | Val Acc: 85.042
Epoch 42: | Train Loss: 0.20685 | Val Loss: 0.25968 | Train Acc: 91.694 | Val Acc: 89.625
Epoch 43: | Train Loss: 0.20626 | Val Loss: 0.27929 | Train Acc: 91.361 | Val Acc: 89.625
Epoch 44: | Train Loss: 0.28292 | Val Loss: 0.27142 | Train Acc: 88.000 | Val Acc: 87.292
Epoch 45: | Train Loss: 0.21518 | Val Loss: 0.26376 | Train Acc: 90.944 | Val Acc: 89.792
Epoch 46: | Train Loss: 0.19877 | Val Loss: 0.31616 | Train Acc: 91.806 | Val Acc: 86.250
Epoch 47: | Train Loss: 0.23741 | Val Loss: 0.44751 | Train Acc: 90.028 | Val Acc: 82.208
Epoch 48: | Train Loss: 0.29909 | Val Loss: 0.30773 | Train Acc: 87.389 | Val Acc: 85.708
Epoch 49: | Train Loss: 0.25107 | Val Loss: 0.31126 | Train Acc: 89.528 | Val Acc: 85.917
Epoch 50: | Train Loss: 0.28158 | Val Loss: 0.21874 | Train Acc: 87.333 | Val Acc: 91.208
Finished Training
