Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.64500 | Val Loss: 0.63290 | Train Acc: 65.639 | Val Acc: 66.625
Epoch 02: | Train Loss: 0.63397 | Val Loss: 0.62997 | Train Acc: 66.333 | Val Acc: 66.500
Epoch 03: | Train Loss: 0.63011 | Val Loss: 0.63060 | Train Acc: 66.222 | Val Acc: 67.167
Epoch 04: | Train Loss: 0.62851 | Val Loss: 0.60677 | Train Acc: 66.361 | Val Acc: 66.792
Epoch 05: | Train Loss: 0.61335 | Val Loss: 0.61661 | Train Acc: 66.333 | Val Acc: 67.208
Epoch 06: | Train Loss: 0.59050 | Val Loss: 0.53488 | Train Acc: 69.167 | Val Acc: 68.375
Epoch 07: | Train Loss: 0.48949 | Val Loss: 0.39211 | Train Acc: 77.528 | Val Acc: 80.708
Epoch 08: | Train Loss: 0.43514 | Val Loss: 0.54615 | Train Acc: 79.667 | Val Acc: 70.958
Epoch 09: | Train Loss: 0.38234 | Val Loss: 0.33645 | Train Acc: 83.417 | Val Acc: 81.500
Epoch 10: | Train Loss: 0.35210 | Val Loss: 0.33563 | Train Acc: 84.000 | Val Acc: 87.000
Epoch 11: | Train Loss: 0.32480 | Val Loss: 0.38911 | Train Acc: 84.556 | Val Acc: 81.375
Epoch 12: | Train Loss: 0.34457 | Val Loss: 0.26963 | Train Acc: 84.139 | Val Acc: 88.000
Epoch 13: | Train Loss: 0.30065 | Val Loss: 0.26383 | Train Acc: 86.556 | Val Acc: 88.375
Epoch 14: | Train Loss: 0.29957 | Val Loss: 0.25016 | Train Acc: 85.889 | Val Acc: 90.667
Epoch 15: | Train Loss: 0.32756 | Val Loss: 0.33809 | Train Acc: 84.694 | Val Acc: 82.458
Epoch 16: | Train Loss: 0.27663 | Val Loss: 0.30971 | Train Acc: 88.222 | Val Acc: 84.000
Epoch 17: | Train Loss: 0.34218 | Val Loss: 0.25660 | Train Acc: 84.139 | Val Acc: 90.917
Epoch 18: | Train Loss: 0.27559 | Val Loss: 0.27124 | Train Acc: 88.083 | Val Acc: 89.458
Epoch 19: | Train Loss: 0.25927 | Val Loss: 0.23760 | Train Acc: 88.139 | Val Acc: 90.500
Epoch 20: | Train Loss: 0.23943 | Val Loss: 0.25075 | Train Acc: 90.278 | Val Acc: 90.125
Epoch 21: | Train Loss: 0.26597 | Val Loss: 0.22822 | Train Acc: 89.111 | Val Acc: 90.833
Epoch 22: | Train Loss: 0.24611 | Val Loss: 0.22180 | Train Acc: 89.222 | Val Acc: 90.750
Epoch 23: | Train Loss: 0.24347 | Val Loss: 0.22374 | Train Acc: 89.639 | Val Acc: 91.000
Epoch 24: | Train Loss: 0.31630 | Val Loss: 0.27935 | Train Acc: 85.250 | Val Acc: 87.417
Epoch 25: | Train Loss: 0.26019 | Val Loss: 0.29935 | Train Acc: 89.833 | Val Acc: 86.833
Epoch 26: | Train Loss: 0.25008 | Val Loss: 0.23391 | Train Acc: 89.611 | Val Acc: 91.125
Epoch 27: | Train Loss: 0.25458 | Val Loss: 0.24332 | Train Acc: 90.500 | Val Acc: 89.958
Epoch 28: | Train Loss: 0.29306 | Val Loss: 0.22816 | Train Acc: 87.028 | Val Acc: 91.250
Epoch 29: | Train Loss: 0.23723 | Val Loss: 0.44940 | Train Acc: 90.639 | Val Acc: 80.875
Epoch 30: | Train Loss: 0.23942 | Val Loss: 0.24690 | Train Acc: 90.167 | Val Acc: 89.458
Epoch 31: | Train Loss: 0.25376 | Val Loss: 0.32048 | Train Acc: 89.444 | Val Acc: 84.958
Epoch 32: | Train Loss: 0.24005 | Val Loss: 0.22553 | Train Acc: 89.722 | Val Acc: 90.167
Epoch 33: | Train Loss: 0.22757 | Val Loss: 0.23972 | Train Acc: 90.472 | Val Acc: 90.083
Epoch 34: | Train Loss: 0.23301 | Val Loss: 0.28338 | Train Acc: 90.528 | Val Acc: 88.083
Epoch 35: | Train Loss: 0.21598 | Val Loss: 0.23474 | Train Acc: 91.389 | Val Acc: 90.208
Epoch 36: | Train Loss: 0.20095 | Val Loss: 0.40897 | Train Acc: 91.556 | Val Acc: 81.750
Epoch 37: | Train Loss: 0.22539 | Val Loss: 0.22783 | Train Acc: 90.889 | Val Acc: 90.750
Epoch 38: | Train Loss: 0.19087 | Val Loss: 0.23703 | Train Acc: 92.694 | Val Acc: 89.750
Epoch 39: | Train Loss: 0.19670 | Val Loss: 0.22604 | Train Acc: 92.111 | Val Acc: 91.583
Epoch 40: | Train Loss: 0.19819 | Val Loss: 0.24979 | Train Acc: 91.778 | Val Acc: 89.167
Epoch 41: | Train Loss: 0.21345 | Val Loss: 0.22798 | Train Acc: 92.389 | Val Acc: 91.167
Epoch 42: | Train Loss: 0.18527 | Val Loss: 0.22171 | Train Acc: 93.222 | Val Acc: 91.792
Epoch 43: | Train Loss: 0.19835 | Val Loss: 0.29681 | Train Acc: 91.444 | Val Acc: 87.917
Epoch 44: | Train Loss: 0.25830 | Val Loss: 0.23385 | Train Acc: 89.889 | Val Acc: 90.083
Epoch 45: | Train Loss: 0.18746 | Val Loss: 0.27197 | Train Acc: 92.722 | Val Acc: 87.458
Epoch 46: | Train Loss: 0.18869 | Val Loss: 0.23856 | Train Acc: 92.806 | Val Acc: 90.583
Epoch 47: | Train Loss: 0.22194 | Val Loss: 0.22264 | Train Acc: 91.278 | Val Acc: 91.667
Epoch 48: | Train Loss: 0.21946 | Val Loss: 0.32251 | Train Acc: 91.444 | Val Acc: 87.333
Epoch 49: | Train Loss: 0.17375 | Val Loss: 0.21718 | Train Acc: 92.917 | Val Acc: 91.708
Epoch 50: | Train Loss: 0.22787 | Val Loss: 0.22756 | Train Acc: 90.806 | Val Acc: 90.708
Finished Training
