Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.65648 | Val Loss: 0.63674 | Train Acc: 65.667 | Val Acc: 66.333
Epoch 02: | Train Loss: 0.64148 | Val Loss: 0.62820 | Train Acc: 65.861 | Val Acc: 66.708
Epoch 03: | Train Loss: 0.63695 | Val Loss: 0.61790 | Train Acc: 65.972 | Val Acc: 67.083
Epoch 04: | Train Loss: 0.64188 | Val Loss: 0.62508 | Train Acc: 65.861 | Val Acc: 66.500
Epoch 05: | Train Loss: 0.62305 | Val Loss: 0.61638 | Train Acc: 65.944 | Val Acc: 66.792
Epoch 06: | Train Loss: 0.61231 | Val Loss: 0.60244 | Train Acc: 65.694 | Val Acc: 66.708
Epoch 07: | Train Loss: 0.59709 | Val Loss: 0.55958 | Train Acc: 68.306 | Val Acc: 66.417
Epoch 08: | Train Loss: 0.55680 | Val Loss: 0.52113 | Train Acc: 72.056 | Val Acc: 67.667
Epoch 09: | Train Loss: 0.52035 | Val Loss: 0.56194 | Train Acc: 72.861 | Val Acc: 71.208
Epoch 10: | Train Loss: 0.45621 | Val Loss: 0.42891 | Train Acc: 76.722 | Val Acc: 81.917
Epoch 11: | Train Loss: 0.47945 | Val Loss: 0.56201 | Train Acc: 74.694 | Val Acc: 67.208
Epoch 12: | Train Loss: 0.45691 | Val Loss: 0.39642 | Train Acc: 76.750 | Val Acc: 82.083
Epoch 13: | Train Loss: 0.48707 | Val Loss: 0.44269 | Train Acc: 75.111 | Val Acc: 77.000
Epoch 14: | Train Loss: 0.42552 | Val Loss: 0.38432 | Train Acc: 79.583 | Val Acc: 80.542
Epoch 15: | Train Loss: 0.38879 | Val Loss: 0.37677 | Train Acc: 82.056 | Val Acc: 84.500
Epoch 16: | Train Loss: 0.40415 | Val Loss: 0.41701 | Train Acc: 81.167 | Val Acc: 78.667
Epoch 17: | Train Loss: 0.38843 | Val Loss: 0.41043 | Train Acc: 82.139 | Val Acc: 78.750
Epoch 18: | Train Loss: 0.40660 | Val Loss: 0.48450 | Train Acc: 80.694 | Val Acc: 76.125
Epoch 19: | Train Loss: 0.38031 | Val Loss: 0.37647 | Train Acc: 81.361 | Val Acc: 79.750
Epoch 20: | Train Loss: 0.38169 | Val Loss: 0.48442 | Train Acc: 81.806 | Val Acc: 76.333
