Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.65314 | Val Loss: 0.62066 | Train Acc: 64.306 | Val Acc: 66.625
Epoch 02: | Train Loss: 0.60118 | Val Loss: 0.51887 | Train Acc: 67.611 | Val Acc: 66.958
Epoch 03: | Train Loss: 0.46255 | Val Loss: 0.30662 | Train Acc: 79.556 | Val Acc: 87.125
Epoch 04: | Train Loss: 0.26674 | Val Loss: 0.18819 | Train Acc: 90.139 | Val Acc: 93.333
Epoch 05: | Train Loss: 0.25214 | Val Loss: 0.15600 | Train Acc: 87.806 | Val Acc: 94.708
Epoch 06: | Train Loss: 0.14379 | Val Loss: 0.11743 | Train Acc: 95.222 | Val Acc: 95.208
Epoch 07: | Train Loss: 0.18995 | Val Loss: 0.24637 | Train Acc: 92.417 | Val Acc: 89.208
Epoch 08: | Train Loss: 0.10784 | Val Loss: 0.08865 | Train Acc: 96.306 | Val Acc: 96.750
Epoch 09: | Train Loss: 0.12262 | Val Loss: 0.14005 | Train Acc: 94.833 | Val Acc: 95.458
Epoch 10: | Train Loss: 0.09006 | Val Loss: 0.08285 | Train Acc: 96.444 | Val Acc: 97.125
Epoch 11: | Train Loss: 0.09935 | Val Loss: 0.07179 | Train Acc: 96.333 | Val Acc: 97.875
Epoch 12: | Train Loss: 0.07617 | Val Loss: 0.06726 | Train Acc: 96.972 | Val Acc: 97.750
Epoch 13: | Train Loss: 0.05814 | Val Loss: 0.09272 | Train Acc: 98.000 | Val Acc: 96.125
Epoch 14: | Train Loss: 0.08416 | Val Loss: 0.06996 | Train Acc: 97.333 | Val Acc: 97.875
Epoch 15: | Train Loss: 0.07561 | Val Loss: 0.19339 | Train Acc: 97.222 | Val Acc: 93.833
Epoch 16: | Train Loss: 0.14463 | Val Loss: 0.07994 | Train Acc: 93.500 | Val Acc: 97.625
Epoch 17: | Train Loss: 0.07283 | Val Loss: 0.06931 | Train Acc: 97.083 | Val Acc: 97.875
Epoch 18: | Train Loss: 0.12893 | Val Loss: 0.21462 | Train Acc: 94.250 | Val Acc: 92.958
Epoch 19: | Train Loss: 0.12433 | Val Loss: 0.08058 | Train Acc: 94.833 | Val Acc: 97.875
Epoch 20: | Train Loss: 0.06453 | Val Loss: 0.09904 | Train Acc: 97.583 | Val Acc: 95.375
Epoch 21: | Train Loss: 0.05938 | Val Loss: 0.07946 | Train Acc: 98.083 | Val Acc: 97.583
Epoch 22: | Train Loss: 0.04718 | Val Loss: 0.07462 | Train Acc: 98.500 | Val Acc: 97.625
Epoch 23: | Train Loss: 0.04663 | Val Loss: 0.10042 | Train Acc: 98.000 | Val Acc: 96.875
Epoch 24: | Train Loss: 0.07172 | Val Loss: 0.54501 | Train Acc: 97.556 | Val Acc: 81.833
Epoch 25: | Train Loss: 0.08668 | Val Loss: 0.06621 | Train Acc: 95.889 | Val Acc: 97.625
Epoch 26: | Train Loss: 0.08968 | Val Loss: 0.11755 | Train Acc: 96.306 | Val Acc: 94.708
Epoch 27: | Train Loss: 0.05732 | Val Loss: 0.05584 | Train Acc: 97.667 | Val Acc: 98.250
Epoch 28: | Train Loss: 0.05844 | Val Loss: 0.17063 | Train Acc: 97.833 | Val Acc: 92.792
Epoch 29: | Train Loss: 0.07311 | Val Loss: 0.09620 | Train Acc: 97.417 | Val Acc: 96.000
Epoch 30: | Train Loss: 0.04449 | Val Loss: 0.09636 | Train Acc: 98.750 | Val Acc: 96.875
Epoch 31: | Train Loss: 0.03720 | Val Loss: 0.06101 | Train Acc: 98.833 | Val Acc: 97.875
Epoch 32: | Train Loss: 0.03278 | Val Loss: 0.05475 | Train Acc: 99.000 | Val Acc: 98.375
Epoch 33: | Train Loss: 0.16316 | Val Loss: 0.33372 | Train Acc: 93.528 | Val Acc: 87.958
Epoch 34: | Train Loss: 0.11230 | Val Loss: 0.06662 | Train Acc: 95.944 | Val Acc: 97.750
Epoch 35: | Train Loss: 0.03311 | Val Loss: 0.06327 | Train Acc: 99.250 | Val Acc: 97.875
Epoch 36: | Train Loss: 0.03954 | Val Loss: 0.15841 | Train Acc: 98.917 | Val Acc: 95.333
Epoch 37: | Train Loss: 0.06134 | Val Loss: 0.05426 | Train Acc: 97.833 | Val Acc: 98.375
Epoch 38: | Train Loss: 0.02999 | Val Loss: 0.05651 | Train Acc: 99.000 | Val Acc: 98.250
Epoch 39: | Train Loss: 0.03052 | Val Loss: 0.05727 | Train Acc: 99.000 | Val Acc: 98.250
Epoch 40: | Train Loss: 0.03061 | Val Loss: 0.05493 | Train Acc: 98.917 | Val Acc: 98.375
Epoch 41: | Train Loss: 0.04207 | Val Loss: 0.05752 | Train Acc: 98.583 | Val Acc: 98.500
Epoch 42: | Train Loss: 0.03654 | Val Loss: 0.05750 | Train Acc: 98.833 | Val Acc: 98.125
Epoch 43: | Train Loss: 0.05411 | Val Loss: 0.09390 | Train Acc: 97.889 | Val Acc: 97.333
