Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.66271 | Val Loss: 0.63769 | Train Acc: 64.694 | Val Acc: 66.500
Epoch 02: | Train Loss: 0.64261 | Val Loss: 0.63451 | Train Acc: 65.722 | Val Acc: 67.083
Epoch 03: | Train Loss: 0.65092 | Val Loss: 0.64350 | Train Acc: 65.667 | Val Acc: 66.708
Epoch 04: | Train Loss: 0.64965 | Val Loss: 0.63664 | Train Acc: 65.639 | Val Acc: 66.667
Epoch 05: | Train Loss: 0.64395 | Val Loss: 0.63863 | Train Acc: 65.750 | Val Acc: 66.542
Epoch 06: | Train Loss: 0.64760 | Val Loss: 0.63886 | Train Acc: 65.972 | Val Acc: 66.667
Epoch 07: | Train Loss: 0.65060 | Val Loss: 0.63704 | Train Acc: 65.667 | Val Acc: 66.750
Epoch 08: | Train Loss: 0.64724 | Val Loss: 0.64359 | Train Acc: 65.778 | Val Acc: 66.708
Epoch 09: | Train Loss: 0.64831 | Val Loss: 0.63339 | Train Acc: 65.556 | Val Acc: 67.167
Epoch 10: | Train Loss: 0.64139 | Val Loss: 0.63946 | Train Acc: 65.833 | Val Acc: 66.792
Epoch 11: | Train Loss: 0.64400 | Val Loss: 0.63794 | Train Acc: 65.583 | Val Acc: 66.750
Epoch 12: | Train Loss: 0.63883 | Val Loss: 0.63344 | Train Acc: 66.139 | Val Acc: 66.833
Epoch 13: | Train Loss: 0.64331 | Val Loss: 0.63676 | Train Acc: 65.667 | Val Acc: 67.125
Epoch 14: | Train Loss: 0.64239 | Val Loss: 0.63433 | Train Acc: 65.722 | Val Acc: 66.750
Epoch 15: | Train Loss: 0.64280 | Val Loss: 0.63517 | Train Acc: 65.861 | Val Acc: 66.708
Epoch 16: | Train Loss: 0.64392 | Val Loss: 0.63408 | Train Acc: 65.778 | Val Acc: 67.167
Epoch 17: | Train Loss: 0.64532 | Val Loss: 0.63883 | Train Acc: 65.667 | Val Acc: 66.792
Epoch 18: | Train Loss: 0.64348 | Val Loss: 0.63466 | Train Acc: 65.639 | Val Acc: 66.917
Epoch 19: | Train Loss: 0.63957 | Val Loss: 0.63745 | Train Acc: 65.750 | Val Acc: 66.750
Epoch 20: | Train Loss: 0.64073 | Val Loss: 0.63381 | Train Acc: 65.694 | Val Acc: 66.833
Epoch 21: | Train Loss: 0.63857 | Val Loss: 0.63581 | Train Acc: 65.694 | Val Acc: 66.708
Epoch 22: | Train Loss: 0.63917 | Val Loss: 0.63231 | Train Acc: 65.806 | Val Acc: 66.708
Epoch 23: | Train Loss: 0.63726 | Val Loss: 0.63048 | Train Acc: 65.833 | Val Acc: 66.833
Epoch 24: | Train Loss: 0.63893 | Val Loss: 0.62917 | Train Acc: 65.667 | Val Acc: 67.042
Epoch 25: | Train Loss: 0.64271 | Val Loss: 0.64900 | Train Acc: 65.667 | Val Acc: 67.042
Epoch 26: | Train Loss: 0.64301 | Val Loss: 0.63459 | Train Acc: 65.972 | Val Acc: 66.583
Epoch 27: | Train Loss: 0.63826 | Val Loss: 0.63406 | Train Acc: 65.694 | Val Acc: 66.875
Epoch 28: | Train Loss: 0.63769 | Val Loss: 0.63428 | Train Acc: 65.917 | Val Acc: 66.708
Epoch 29: | Train Loss: 0.63800 | Val Loss: 0.62869 | Train Acc: 65.472 | Val Acc: 66.875
Epoch 30: | Train Loss: 0.64059 | Val Loss: 0.63072 | Train Acc: 65.611 | Val Acc: 66.833
Epoch 31: | Train Loss: 0.63784 | Val Loss: 0.65302 | Train Acc: 65.722 | Val Acc: 66.208
Epoch 32: | Train Loss: 0.63174 | Val Loss: 0.63025 | Train Acc: 66.111 | Val Acc: 66.750
Epoch 33: | Train Loss: 0.63395 | Val Loss: 0.63379 | Train Acc: 65.889 | Val Acc: 66.792
Epoch 34: | Train Loss: 0.62980 | Val Loss: 0.62709 | Train Acc: 65.722 | Val Acc: 66.917
Epoch 35: | Train Loss: 0.62231 | Val Loss: 0.64106 | Train Acc: 66.000 | Val Acc: 69.583
