Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.66158 | Val Loss: 0.63632 | Train Acc: 64.056 | Val Acc: 66.750
Epoch 02: | Train Loss: 0.64573 | Val Loss: 0.63681 | Train Acc: 65.556 | Val Acc: 66.625
Epoch 03: | Train Loss: 0.64694 | Val Loss: 0.64456 | Train Acc: 65.944 | Val Acc: 66.250
Epoch 04: | Train Loss: 0.64727 | Val Loss: 0.63600 | Train Acc: 65.694 | Val Acc: 66.875
Epoch 05: | Train Loss: 0.64483 | Val Loss: 0.63700 | Train Acc: 65.611 | Val Acc: 66.625
Epoch 06: | Train Loss: 0.64184 | Val Loss: 0.63464 | Train Acc: 65.778 | Val Acc: 66.625
Epoch 07: | Train Loss: 0.64471 | Val Loss: 0.64224 | Train Acc: 65.806 | Val Acc: 66.667
Epoch 08: | Train Loss: 0.64327 | Val Loss: 0.64144 | Train Acc: 65.694 | Val Acc: 66.792
Epoch 09: | Train Loss: 0.64789 | Val Loss: 0.63445 | Train Acc: 65.667 | Val Acc: 66.875
Epoch 10: | Train Loss: 0.64042 | Val Loss: 0.63564 | Train Acc: 65.806 | Val Acc: 66.542
Epoch 11: | Train Loss: 0.64175 | Val Loss: 0.63566 | Train Acc: 65.611 | Val Acc: 66.417
Epoch 12: | Train Loss: 0.63888 | Val Loss: 0.63398 | Train Acc: 66.028 | Val Acc: 66.583
Epoch 13: | Train Loss: 0.64637 | Val Loss: 0.63187 | Train Acc: 65.444 | Val Acc: 67.000
Epoch 14: | Train Loss: 0.64265 | Val Loss: 0.63346 | Train Acc: 65.639 | Val Acc: 66.500
Epoch 15: | Train Loss: 0.64080 | Val Loss: 0.63157 | Train Acc: 65.583 | Val Acc: 66.792
Epoch 16: | Train Loss: 0.63737 | Val Loss: 0.63206 | Train Acc: 65.667 | Val Acc: 66.500
Epoch 17: | Train Loss: 0.63983 | Val Loss: 0.62986 | Train Acc: 65.667 | Val Acc: 66.833
Epoch 18: | Train Loss: 0.64261 | Val Loss: 0.63655 | Train Acc: 65.500 | Val Acc: 66.792
Epoch 19: | Train Loss: 0.62988 | Val Loss: 0.62248 | Train Acc: 66.000 | Val Acc: 66.792
Epoch 20: | Train Loss: 0.63180 | Val Loss: 0.61837 | Train Acc: 65.778 | Val Acc: 66.708
Epoch 21: | Train Loss: 0.63707 | Val Loss: 0.64514 | Train Acc: 65.917 | Val Acc: 66.792
Epoch 22: | Train Loss: 0.63039 | Val Loss: 0.62079 | Train Acc: 65.806 | Val Acc: 66.500
Epoch 23: | Train Loss: 0.62815 | Val Loss: 0.61747 | Train Acc: 65.833 | Val Acc: 66.833
Epoch 24: | Train Loss: 0.61258 | Val Loss: 0.59356 | Train Acc: 65.667 | Val Acc: 66.792
Epoch 25: | Train Loss: 0.59222 | Val Loss: 0.56988 | Train Acc: 68.000 | Val Acc: 72.625
Epoch 26: | Train Loss: 0.56808 | Val Loss: 0.57663 | Train Acc: 71.889 | Val Acc: 73.500
Epoch 27: | Train Loss: 0.54217 | Val Loss: 0.60245 | Train Acc: 72.194 | Val Acc: 68.667
Epoch 28: | Train Loss: 0.58866 | Val Loss: 0.56171 | Train Acc: 69.222 | Val Acc: 69.625
Epoch 29: | Train Loss: 0.56225 | Val Loss: 0.56325 | Train Acc: 72.056 | Val Acc: 68.792
Epoch 30: | Train Loss: 0.55567 | Val Loss: 0.53634 | Train Acc: 72.361 | Val Acc: 72.250
Epoch 31: | Train Loss: 0.49794 | Val Loss: 0.52089 | Train Acc: 77.139 | Val Acc: 75.333
Epoch 32: | Train Loss: 0.49894 | Val Loss: 0.53672 | Train Acc: 76.778 | Val Acc: 74.875
Epoch 33: | Train Loss: 0.50008 | Val Loss: 0.55008 | Train Acc: 75.694 | Val Acc: 70.042
Epoch 34: | Train Loss: 0.50053 | Val Loss: 0.54109 | Train Acc: 76.167 | Val Acc: 71.000
Epoch 35: | Train Loss: 0.51451 | Val Loss: 0.52073 | Train Acc: 75.139 | Val Acc: 73.208
Epoch 36: | Train Loss: 0.49306 | Val Loss: 0.52584 | Train Acc: 77.639 | Val Acc: 73.292
Epoch 37: | Train Loss: 0.47592 | Val Loss: 0.56259 | Train Acc: 78.556 | Val Acc: 72.208
Epoch 38: | Train Loss: 0.50598 | Val Loss: 0.54312 | Train Acc: 75.111 | Val Acc: 73.833
Epoch 39: | Train Loss: 0.49500 | Val Loss: 0.66157 | Train Acc: 77.528 | Val Acc: 62.417
Epoch 40: | Train Loss: 0.55741 | Val Loss: 0.54848 | Train Acc: 71.556 | Val Acc: 70.583
Epoch 41: | Train Loss: 0.52386 | Val Loss: 0.51633 | Train Acc: 73.889 | Val Acc: 73.750
Epoch 42: | Train Loss: 0.48076 | Val Loss: 0.51598 | Train Acc: 78.583 | Val Acc: 73.333
Epoch 43: | Train Loss: 0.47596 | Val Loss: 0.52918 | Train Acc: 78.778 | Val Acc: 75.333
Epoch 44: | Train Loss: 0.47112 | Val Loss: 0.52128 | Train Acc: 78.583 | Val Acc: 74.417
