Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.65168 | Val Loss: 0.62640 | Train Acc: 65.333 | Val Acc: 66.708
Epoch 02: | Train Loss: 0.63035 | Val Loss: 0.60581 | Train Acc: 65.472 | Val Acc: 66.833
Epoch 03: | Train Loss: 0.59391 | Val Loss: 0.52233 | Train Acc: 67.000 | Val Acc: 77.958
Epoch 04: | Train Loss: 0.54814 | Val Loss: 0.54189 | Train Acc: 72.111 | Val Acc: 81.750
Epoch 05: | Train Loss: 0.43760 | Val Loss: 0.33758 | Train Acc: 81.694 | Val Acc: 87.000
Epoch 06: | Train Loss: 0.33860 | Val Loss: 0.36101 | Train Acc: 84.917 | Val Acc: 83.833
Epoch 07: | Train Loss: 0.35744 | Val Loss: 0.28064 | Train Acc: 84.833 | Val Acc: 88.417
Epoch 08: | Train Loss: 0.34253 | Val Loss: 0.32267 | Train Acc: 84.639 | Val Acc: 86.000
Epoch 09: | Train Loss: 0.28630 | Val Loss: 0.26764 | Train Acc: 86.722 | Val Acc: 89.000
Epoch 10: | Train Loss: 0.26545 | Val Loss: 0.24144 | Train Acc: 88.389 | Val Acc: 90.875
Epoch 11: | Train Loss: 0.24759 | Val Loss: 0.26270 | Train Acc: 89.167 | Val Acc: 89.208
Epoch 12: | Train Loss: 0.27458 | Val Loss: 0.25671 | Train Acc: 88.222 | Val Acc: 89.833
Epoch 13: | Train Loss: 0.21919 | Val Loss: 0.24533 | Train Acc: 90.389 | Val Acc: 90.208
Epoch 14: | Train Loss: 0.31376 | Val Loss: 0.69566 | Train Acc: 88.167 | Val Acc: 72.458
Epoch 15: | Train Loss: 0.28880 | Val Loss: 0.24270 | Train Acc: 88.056 | Val Acc: 90.583
Epoch 16: | Train Loss: 0.21022 | Val Loss: 0.21928 | Train Acc: 91.556 | Val Acc: 91.625
Epoch 17: | Train Loss: 0.20574 | Val Loss: 0.37835 | Train Acc: 92.111 | Val Acc: 83.583
Epoch 18: | Train Loss: 0.21276 | Val Loss: 0.34056 | Train Acc: 91.167 | Val Acc: 86.000
Epoch 19: | Train Loss: 0.22893 | Val Loss: 0.24983 | Train Acc: 90.472 | Val Acc: 89.750
Epoch 20: | Train Loss: 0.18312 | Val Loss: 0.22338 | Train Acc: 93.778 | Val Acc: 91.000
