Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.65979 | Val Loss: 0.62525 | Train Acc: 63.944 | Val Acc: 66.708
Epoch 02: | Train Loss: 0.61759 | Val Loss: 0.57426 | Train Acc: 65.556 | Val Acc: 66.625
Epoch 03: | Train Loss: 0.49973 | Val Loss: 0.38157 | Train Acc: 75.611 | Val Acc: 89.708
Epoch 04: | Train Loss: 0.32288 | Val Loss: 0.33701 | Train Acc: 87.778 | Val Acc: 81.833
Epoch 05: | Train Loss: 0.25993 | Val Loss: 0.27046 | Train Acc: 88.806 | Val Acc: 89.458
Epoch 06: | Train Loss: 0.23590 | Val Loss: 0.18287 | Train Acc: 90.306 | Val Acc: 92.917
Epoch 07: | Train Loss: 0.20508 | Val Loss: 0.15265 | Train Acc: 91.528 | Val Acc: 94.833
Epoch 08: | Train Loss: 0.22142 | Val Loss: 0.16144 | Train Acc: 91.056 | Val Acc: 94.208
Epoch 09: | Train Loss: 0.15432 | Val Loss: 0.14503 | Train Acc: 93.861 | Val Acc: 94.417
Epoch 10: | Train Loss: 0.15845 | Val Loss: 0.19188 | Train Acc: 93.528 | Val Acc: 92.083
Epoch 11: | Train Loss: 0.13749 | Val Loss: 0.13083 | Train Acc: 95.000 | Val Acc: 95.167
Epoch 12: | Train Loss: 0.14604 | Val Loss: 0.14322 | Train Acc: 93.722 | Val Acc: 95.500
Epoch 13: | Train Loss: 0.15716 | Val Loss: 0.14032 | Train Acc: 93.528 | Val Acc: 94.708
Epoch 14: | Train Loss: 0.11916 | Val Loss: 0.11983 | Train Acc: 95.056 | Val Acc: 95.708
Epoch 15: | Train Loss: 0.24203 | Val Loss: 0.12192 | Train Acc: 91.000 | Val Acc: 95.250
Epoch 16: | Train Loss: 0.17565 | Val Loss: 0.12470 | Train Acc: 91.722 | Val Acc: 95.750
Epoch 17: | Train Loss: 0.11596 | Val Loss: 0.16257 | Train Acc: 95.583 | Val Acc: 94.625
Epoch 18: | Train Loss: 0.10915 | Val Loss: 0.12093 | Train Acc: 96.000 | Val Acc: 95.125
Epoch 19: | Train Loss: 0.08578 | Val Loss: 0.10881 | Train Acc: 97.167 | Val Acc: 95.625
Epoch 20: | Train Loss: 0.11143 | Val Loss: 0.14691 | Train Acc: 95.806 | Val Acc: 94.250
Epoch 21: | Train Loss: 0.08285 | Val Loss: 0.11346 | Train Acc: 97.167 | Val Acc: 95.375
Epoch 22: | Train Loss: 0.09412 | Val Loss: 0.16172 | Train Acc: 96.833 | Val Acc: 94.750
Epoch 23: | Train Loss: 0.15399 | Val Loss: 0.15378 | Train Acc: 94.000 | Val Acc: 94.583
Epoch 24: | Train Loss: 0.09216 | Val Loss: 0.10767 | Train Acc: 96.333 | Val Acc: 95.750
Epoch 25: | Train Loss: 0.08930 | Val Loss: 0.13460 | Train Acc: 97.000 | Val Acc: 94.833
Epoch 26: | Train Loss: 0.15055 | Val Loss: 0.18786 | Train Acc: 93.889 | Val Acc: 92.500
Epoch 27: | Train Loss: 0.26014 | Val Loss: 0.15322 | Train Acc: 90.056 | Val Acc: 94.458
Epoch 28: | Train Loss: 0.16579 | Val Loss: 0.13249 | Train Acc: 93.500 | Val Acc: 96.375
Epoch 29: | Train Loss: 0.10760 | Val Loss: 0.11119 | Train Acc: 95.806 | Val Acc: 95.250
Epoch 30: | Train Loss: 0.09743 | Val Loss: 0.10396 | Train Acc: 96.472 | Val Acc: 95.750
Epoch 31: | Train Loss: 0.09492 | Val Loss: 0.16890 | Train Acc: 96.500 | Val Acc: 93.875
Epoch 32: | Train Loss: 0.10523 | Val Loss: 0.10102 | Train Acc: 96.389 | Val Acc: 95.500
Epoch 33: | Train Loss: 0.08021 | Val Loss: 0.13144 | Train Acc: 97.083 | Val Acc: 94.958
Epoch 34: | Train Loss: 0.06888 | Val Loss: 0.12285 | Train Acc: 96.917 | Val Acc: 95.000
Epoch 35: | Train Loss: 0.11553 | Val Loss: 0.10787 | Train Acc: 95.833 | Val Acc: 96.125
Epoch 36: | Train Loss: 0.10545 | Val Loss: 0.10328 | Train Acc: 95.056 | Val Acc: 96.083
Epoch 37: | Train Loss: 0.05811 | Val Loss: 0.09823 | Train Acc: 98.167 | Val Acc: 95.875
Epoch 38: | Train Loss: 0.06655 | Val Loss: 0.18214 | Train Acc: 97.500 | Val Acc: 94.625
Epoch 39: | Train Loss: 0.08622 | Val Loss: 0.09737 | Train Acc: 96.972 | Val Acc: 95.875
Epoch 40: | Train Loss: 0.07725 | Val Loss: 0.10124 | Train Acc: 97.333 | Val Acc: 95.375
Epoch 41: | Train Loss: 0.05292 | Val Loss: 0.08967 | Train Acc: 98.083 | Val Acc: 95.875
Epoch 42: | Train Loss: 0.06699 | Val Loss: 0.09805 | Train Acc: 97.417 | Val Acc: 96.375
Epoch 43: | Train Loss: 0.05144 | Val Loss: 0.09923 | Train Acc: 98.000 | Val Acc: 96.000
Epoch 44: | Train Loss: 0.10792 | Val Loss: 0.10738 | Train Acc: 95.194 | Val Acc: 95.500
Epoch 45: | Train Loss: 0.10356 | Val Loss: 0.14537 | Train Acc: 95.389 | Val Acc: 96.000
Epoch 46: | Train Loss: 0.05353 | Val Loss: 0.10171 | Train Acc: 98.333 | Val Acc: 96.125
Epoch 47: | Train Loss: 0.11750 | Val Loss: 0.32859 | Train Acc: 95.139 | Val Acc: 88.500
Epoch 48: | Train Loss: 0.12278 | Val Loss: 0.22075 | Train Acc: 95.250 | Val Acc: 92.833
Epoch 49: | Train Loss: 0.09081 | Val Loss: 0.09806 | Train Acc: 95.861 | Val Acc: 96.250
Epoch 50: | Train Loss: 0.06853 | Val Loss: 0.09207 | Train Acc: 97.667 | Val Acc: 96.083
Finished Training
