Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.54882 | Val Loss: 0.35868 | Train Acc: 71.722 | Val Acc: 78.667
Epoch 02: | Train Loss: 0.21832 | Val Loss: 0.06912 | Train Acc: 92.667 | Val Acc: 99.625
Epoch 03: | Train Loss: 0.06246 | Val Loss: 0.11140 | Train Acc: 98.500 | Val Acc: 95.500
Epoch 04: | Train Loss: 0.04329 | Val Loss: 0.03006 | Train Acc: 98.750 | Val Acc: 99.375
Epoch 05: | Train Loss: 0.04140 | Val Loss: 0.01454 | Train Acc: 98.667 | Val Acc: 99.750
Epoch 06: | Train Loss: 0.07343 | Val Loss: 0.02387 | Train Acc: 97.194 | Val Acc: 99.375
Epoch 07: | Train Loss: 0.06879 | Val Loss: 0.05204 | Train Acc: 97.583 | Val Acc: 98.125
Epoch 08: | Train Loss: 0.01373 | Val Loss: 0.01088 | Train Acc: 99.750 | Val Acc: 99.750
Epoch 09: | Train Loss: 0.01813 | Val Loss: 0.01967 | Train Acc: 99.500 | Val Acc: 99.375
Epoch 10: | Train Loss: 0.02031 | Val Loss: 0.02587 | Train Acc: 99.417 | Val Acc: 98.750
Epoch 11: | Train Loss: 0.01587 | Val Loss: 0.00999 | Train Acc: 99.417 | Val Acc: 99.875
Epoch 12: | Train Loss: 0.01983 | Val Loss: 0.07444 | Train Acc: 99.167 | Val Acc: 97.250
Epoch 13: | Train Loss: 0.01669 | Val Loss: 0.01164 | Train Acc: 99.500 | Val Acc: 99.750
Epoch 14: | Train Loss: 0.00629 | Val Loss: 0.00861 | Train Acc: 99.833 | Val Acc: 99.750
Epoch 15: | Train Loss: 0.00838 | Val Loss: 0.00835 | Train Acc: 99.667 | Val Acc: 99.750
Epoch 16: | Train Loss: 0.07065 | Val Loss: 0.01425 | Train Acc: 97.500 | Val Acc: 99.625
Epoch 17: | Train Loss: 0.01641 | Val Loss: 0.01055 | Train Acc: 99.417 | Val Acc: 99.750
Epoch 18: | Train Loss: 0.00687 | Val Loss: 0.02301 | Train Acc: 99.750 | Val Acc: 99.000
Epoch 19: | Train Loss: 0.09541 | Val Loss: 0.05976 | Train Acc: 96.833 | Val Acc: 97.750
Epoch 20: | Train Loss: 0.01212 | Val Loss: 0.00938 | Train Acc: 99.750 | Val Acc: 99.750
Epoch 21: | Train Loss: 0.02262 | Val Loss: 0.04789 | Train Acc: 99.417 | Val Acc: 97.875
Epoch 22: | Train Loss: 0.01530 | Val Loss: 0.00833 | Train Acc: 99.500 | Val Acc: 99.750
Epoch 23: | Train Loss: 0.00411 | Val Loss: 0.00792 | Train Acc: 100.000 | Val Acc: 99.750
Epoch 24: | Train Loss: 0.00681 | Val Loss: 0.01051 | Train Acc: 99.833 | Val Acc: 99.750
Epoch 25: | Train Loss: 0.00550 | Val Loss: 0.00301 | Train Acc: 99.917 | Val Acc: 99.875
Epoch 26: | Train Loss: 0.00989 | Val Loss: 0.05879 | Train Acc: 99.583 | Val Acc: 98.125
Epoch 27: | Train Loss: 0.01927 | Val Loss: 0.00748 | Train Acc: 99.417 | Val Acc: 99.750
Epoch 28: | Train Loss: 0.02918 | Val Loss: 0.05964 | Train Acc: 99.167 | Val Acc: 98.125
Epoch 29: | Train Loss: 0.00418 | Val Loss: 0.01244 | Train Acc: 100.000 | Val Acc: 99.750
Epoch 30: | Train Loss: 0.00373 | Val Loss: 0.00789 | Train Acc: 99.917 | Val Acc: 99.750
Epoch 31: | Train Loss: 0.00357 | Val Loss: 0.00915 | Train Acc: 99.917 | Val Acc: 99.750
Epoch 32: | Train Loss: 0.01285 | Val Loss: 0.03539 | Train Acc: 99.500 | Val Acc: 98.750
Epoch 33: | Train Loss: 0.06550 | Val Loss: 0.01840 | Train Acc: 98.333 | Val Acc: 99.375
Epoch 34: | Train Loss: 0.02810 | Val Loss: 0.00793 | Train Acc: 98.917 | Val Acc: 99.750
Epoch 35: | Train Loss: 0.00416 | Val Loss: 0.00972 | Train Acc: 100.000 | Val Acc: 99.750
Epoch 36: | Train Loss: 0.00288 | Val Loss: 0.02497 | Train Acc: 100.000 | Val Acc: 99.125
Epoch 37: | Train Loss: 0.00732 | Val Loss: 0.00796 | Train Acc: 99.750 | Val Acc: 99.750
Epoch 38: | Train Loss: 0.00169 | Val Loss: 0.00792 | Train Acc: 100.000 | Val Acc: 99.750
