Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.70452 | Val Loss: 0.69365 | Train Acc: 51.250 | Val Acc: 49.750
Epoch 02: | Train Loss: 0.68792 | Val Loss: 0.68075 | Train Acc: 54.167 | Val Acc: 49.812
Epoch 03: | Train Loss: 0.68390 | Val Loss: 0.68917 | Train Acc: 54.708 | Val Acc: 49.875
Epoch 04: | Train Loss: 0.66185 | Val Loss: 0.63546 | Train Acc: 58.292 | Val Acc: 71.312
Epoch 05: | Train Loss: 0.61351 | Val Loss: 0.56471 | Train Acc: 67.583 | Val Acc: 74.188
Epoch 06: | Train Loss: 0.54341 | Val Loss: 0.59790 | Train Acc: 72.333 | Val Acc: 65.375
Epoch 07: | Train Loss: 0.49231 | Val Loss: 0.43139 | Train Acc: 75.333 | Val Acc: 83.562
Epoch 08: | Train Loss: 0.43050 | Val Loss: 0.40170 | Train Acc: 81.167 | Val Acc: 84.000
Epoch 09: | Train Loss: 0.39511 | Val Loss: 0.38484 | Train Acc: 83.375 | Val Acc: 85.000
Epoch 10: | Train Loss: 0.35933 | Val Loss: 0.36007 | Train Acc: 87.625 | Val Acc: 84.938
Epoch 11: | Train Loss: 0.32410 | Val Loss: 0.39680 | Train Acc: 88.458 | Val Acc: 82.875
Epoch 12: | Train Loss: 0.36768 | Val Loss: 0.44414 | Train Acc: 83.000 | Val Acc: 79.812
Epoch 13: | Train Loss: 0.37798 | Val Loss: 0.38113 | Train Acc: 83.708 | Val Acc: 82.938
Epoch 14: | Train Loss: 0.30977 | Val Loss: 0.31888 | Train Acc: 88.292 | Val Acc: 87.812
Epoch 15: | Train Loss: 0.30783 | Val Loss: 0.31927 | Train Acc: 88.167 | Val Acc: 87.812
Epoch 16: | Train Loss: 0.32882 | Val Loss: 0.32431 | Train Acc: 85.750 | Val Acc: 86.500
Epoch 17: | Train Loss: 0.29335 | Val Loss: 0.47307 | Train Acc: 89.208 | Val Acc: 80.125
Epoch 18: | Train Loss: 0.30483 | Val Loss: 0.31401 | Train Acc: 87.042 | Val Acc: 87.250
Epoch 19: | Train Loss: 0.28911 | Val Loss: 0.35733 | Train Acc: 88.875 | Val Acc: 84.062
Epoch 20: | Train Loss: 0.28431 | Val Loss: 0.39924 | Train Acc: 88.708 | Val Acc: 82.688
Epoch 21: | Train Loss: 0.27276 | Val Loss: 0.34688 | Train Acc: 89.792 | Val Acc: 85.250
Epoch 22: | Train Loss: 0.28491 | Val Loss: 0.31912 | Train Acc: 88.833 | Val Acc: 87.875
Epoch 23: | Train Loss: 0.31547 | Val Loss: 0.32198 | Train Acc: 87.250 | Val Acc: 86.500
Epoch 24: | Train Loss: 0.24930 | Val Loss: 0.31996 | Train Acc: 91.417 | Val Acc: 87.312
Epoch 25: | Train Loss: 0.24934 | Val Loss: 0.35035 | Train Acc: 90.875 | Val Acc: 85.062
Epoch 26: | Train Loss: 0.25265 | Val Loss: 0.34046 | Train Acc: 90.875 | Val Acc: 85.750
Epoch 27: | Train Loss: 0.24950 | Val Loss: 0.38398 | Train Acc: 90.000 | Val Acc: 83.500
Epoch 28: | Train Loss: 0.26316 | Val Loss: 0.47441 | Train Acc: 89.292 | Val Acc: 79.625
Epoch 29: | Train Loss: 0.27341 | Val Loss: 0.31936 | Train Acc: 88.875 | Val Acc: 86.312
Epoch 30: | Train Loss: 0.26247 | Val Loss: 0.42954 | Train Acc: 88.958 | Val Acc: 80.438
Epoch 31: | Train Loss: 0.26376 | Val Loss: 0.33853 | Train Acc: 90.083 | Val Acc: 86.812
Epoch 32: | Train Loss: 0.24621 | Val Loss: 0.33679 | Train Acc: 91.250 | Val Acc: 84.562
Epoch 33: | Train Loss: 0.25946 | Val Loss: 0.35480 | Train Acc: 88.583 | Val Acc: 84.812
Epoch 34: | Train Loss: 0.23733 | Val Loss: 0.50181 | Train Acc: 90.958 | Val Acc: 79.188
Epoch 35: | Train Loss: 0.23553 | Val Loss: 0.34965 | Train Acc: 90.667 | Val Acc: 86.625
Epoch 36: | Train Loss: 0.23129 | Val Loss: 0.36565 | Train Acc: 91.625 | Val Acc: 84.438
Epoch 37: | Train Loss: 0.21334 | Val Loss: 0.31758 | Train Acc: 92.125 | Val Acc: 87.812
Epoch 38: | Train Loss: 0.23722 | Val Loss: 0.40185 | Train Acc: 91.042 | Val Acc: 83.562
Epoch 39: | Train Loss: 0.22712 | Val Loss: 0.32143 | Train Acc: 91.458 | Val Acc: 86.688
Epoch 40: | Train Loss: 0.22156 | Val Loss: 0.38730 | Train Acc: 91.417 | Val Acc: 84.250
Epoch 41: | Train Loss: 0.32239 | Val Loss: 0.31846 | Train Acc: 86.167 | Val Acc: 86.562
Epoch 42: | Train Loss: 0.24237 | Val Loss: 0.39310 | Train Acc: 89.458 | Val Acc: 83.688
Epoch 43: | Train Loss: 0.24451 | Val Loss: 0.32412 | Train Acc: 91.167 | Val Acc: 87.750
Epoch 44: | Train Loss: 0.23549 | Val Loss: 0.32360 | Train Acc: 91.042 | Val Acc: 88.312
Epoch 45: | Train Loss: 0.22456 | Val Loss: 0.31606 | Train Acc: 91.625 | Val Acc: 87.812
Epoch 46: | Train Loss: 0.21312 | Val Loss: 0.35275 | Train Acc: 92.667 | Val Acc: 84.812
Epoch 47: | Train Loss: 0.27531 | Val Loss: 0.31741 | Train Acc: 88.958 | Val Acc: 87.500
Epoch 48: | Train Loss: 0.25324 | Val Loss: 0.32169 | Train Acc: 91.083 | Val Acc: 87.375
Epoch 49: | Train Loss: 0.22588 | Val Loss: 0.34743 | Train Acc: 91.792 | Val Acc: 87.250
Epoch 50: | Train Loss: 0.21966 | Val Loss: 0.32288 | Train Acc: 91.292 | Val Acc: 87.250
Finished Training
