Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.71413 | Val Loss: 0.70859 | Train Acc: 34.306 | Val Acc: 33.417
Epoch 02: | Train Loss: 0.70310 | Val Loss: 0.69768 | Train Acc: 34.167 | Val Acc: 33.250
Epoch 03: | Train Loss: 0.69305 | Val Loss: 0.68828 | Train Acc: 52.056 | Val Acc: 66.625
Epoch 04: | Train Loss: 0.68456 | Val Loss: 0.67952 | Train Acc: 65.778 | Val Acc: 66.583
Epoch 05: | Train Loss: 0.67694 | Val Loss: 0.67252 | Train Acc: 65.778 | Val Acc: 66.667
Epoch 06: | Train Loss: 0.67151 | Val Loss: 0.66598 | Train Acc: 65.556 | Val Acc: 66.792
Epoch 07: | Train Loss: 0.66596 | Val Loss: 0.66069 | Train Acc: 65.528 | Val Acc: 66.917
Epoch 08: | Train Loss: 0.66059 | Val Loss: 0.65484 | Train Acc: 66.028 | Val Acc: 67.375
Epoch 09: | Train Loss: 0.65796 | Val Loss: 0.65262 | Train Acc: 65.583 | Val Acc: 66.792
Epoch 10: | Train Loss: 0.65445 | Val Loss: 0.64863 | Train Acc: 65.694 | Val Acc: 67.000
Epoch 11: | Train Loss: 0.65128 | Val Loss: 0.64646 | Train Acc: 65.944 | Val Acc: 66.875
Epoch 12: | Train Loss: 0.65024 | Val Loss: 0.64592 | Train Acc: 65.667 | Val Acc: 66.500
Epoch 13: | Train Loss: 0.64786 | Val Loss: 0.64318 | Train Acc: 65.833 | Val Acc: 66.833
Epoch 14: | Train Loss: 0.64697 | Val Loss: 0.64292 | Train Acc: 65.750 | Val Acc: 66.542
Epoch 15: | Train Loss: 0.64684 | Val Loss: 0.64049 | Train Acc: 65.583 | Val Acc: 66.792
Epoch 16: | Train Loss: 0.64427 | Val Loss: 0.64036 | Train Acc: 65.944 | Val Acc: 66.708
