Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.61479 | Val Loss: 0.51902 | Train Acc: 68.500 | Val Acc: 73.292
Epoch 02: | Train Loss: 0.47680 | Val Loss: 0.35898 | Train Acc: 78.444 | Val Acc: 87.792
Epoch 03: | Train Loss: 0.30984 | Val Loss: 0.22156 | Train Acc: 89.611 | Val Acc: 94.333
Epoch 04: | Train Loss: 0.27859 | Val Loss: 0.16677 | Train Acc: 88.139 | Val Acc: 95.375
Epoch 05: | Train Loss: 0.16531 | Val Loss: 0.13965 | Train Acc: 94.861 | Val Acc: 96.125
Epoch 06: | Train Loss: 0.14179 | Val Loss: 0.14348 | Train Acc: 95.389 | Val Acc: 95.375
Epoch 07: | Train Loss: 0.11295 | Val Loss: 0.09341 | Train Acc: 96.167 | Val Acc: 96.875
Epoch 08: | Train Loss: 0.10528 | Val Loss: 0.08080 | Train Acc: 96.583 | Val Acc: 97.250
Epoch 09: | Train Loss: 0.08682 | Val Loss: 0.09164 | Train Acc: 97.667 | Val Acc: 97.125
Epoch 10: | Train Loss: 0.09188 | Val Loss: 0.11245 | Train Acc: 97.417 | Val Acc: 96.125
Epoch 11: | Train Loss: 0.06487 | Val Loss: 0.07892 | Train Acc: 98.417 | Val Acc: 97.375
Epoch 12: | Train Loss: 0.10017 | Val Loss: 0.18876 | Train Acc: 95.917 | Val Acc: 92.792
Epoch 13: | Train Loss: 0.08850 | Val Loss: 0.06478 | Train Acc: 96.944 | Val Acc: 98.000
Epoch 14: | Train Loss: 0.08036 | Val Loss: 0.12092 | Train Acc: 97.083 | Val Acc: 94.208
Epoch 15: | Train Loss: 0.12129 | Val Loss: 0.08392 | Train Acc: 95.139 | Val Acc: 96.625
Epoch 16: | Train Loss: 0.13175 | Val Loss: 0.27520 | Train Acc: 95.028 | Val Acc: 89.125
Epoch 17: | Train Loss: 0.14145 | Val Loss: 0.13898 | Train Acc: 94.972 | Val Acc: 93.667
Epoch 18: | Train Loss: 0.06787 | Val Loss: 0.06072 | Train Acc: 97.111 | Val Acc: 98.000
Epoch 19: | Train Loss: 0.05227 | Val Loss: 0.08561 | Train Acc: 98.417 | Val Acc: 96.500
Epoch 20: | Train Loss: 0.07160 | Val Loss: 0.05796 | Train Acc: 97.222 | Val Acc: 98.250
Epoch 21: | Train Loss: 0.05303 | Val Loss: 0.06494 | Train Acc: 98.167 | Val Acc: 97.750
Epoch 22: | Train Loss: 0.04219 | Val Loss: 0.05937 | Train Acc: 98.667 | Val Acc: 98.000
Epoch 23: | Train Loss: 0.04524 | Val Loss: 0.05375 | Train Acc: 98.222 | Val Acc: 98.375
Epoch 24: | Train Loss: 0.04101 | Val Loss: 0.19931 | Train Acc: 98.833 | Val Acc: 92.125
Epoch 25: | Train Loss: 0.05281 | Val Loss: 0.08469 | Train Acc: 97.917 | Val Acc: 97.375
Epoch 26: | Train Loss: 0.14484 | Val Loss: 0.06472 | Train Acc: 94.417 | Val Acc: 98.000
Epoch 27: | Train Loss: 0.04564 | Val Loss: 0.09908 | Train Acc: 98.250 | Val Acc: 96.625
Epoch 28: | Train Loss: 0.05028 | Val Loss: 0.08748 | Train Acc: 98.417 | Val Acc: 97.250
Epoch 29: | Train Loss: 0.08551 | Val Loss: 0.34024 | Train Acc: 96.083 | Val Acc: 86.792
Epoch 30: | Train Loss: 0.07409 | Val Loss: 0.04944 | Train Acc: 96.861 | Val Acc: 98.500
Epoch 31: | Train Loss: 0.03530 | Val Loss: 0.05809 | Train Acc: 99.167 | Val Acc: 97.875
Epoch 32: | Train Loss: 0.03701 | Val Loss: 0.09775 | Train Acc: 98.667 | Val Acc: 97.000
