Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.69833 | Val Loss: 0.69306 | Train Acc: 34.111 | Val Acc: 67.083
Epoch 02: | Train Loss: 0.68866 | Val Loss: 0.68339 | Train Acc: 65.750 | Val Acc: 66.958
Epoch 03: | Train Loss: 0.68031 | Val Loss: 0.67582 | Train Acc: 65.611 | Val Acc: 66.292
Epoch 04: | Train Loss: 0.67309 | Val Loss: 0.66757 | Train Acc: 65.750 | Val Acc: 67.167
Epoch 05: | Train Loss: 0.66690 | Val Loss: 0.66246 | Train Acc: 65.861 | Val Acc: 66.667
Epoch 06: | Train Loss: 0.66205 | Val Loss: 0.65723 | Train Acc: 65.750 | Val Acc: 66.708
Epoch 07: | Train Loss: 0.65805 | Val Loss: 0.65252 | Train Acc: 65.750 | Val Acc: 66.917
Epoch 08: | Train Loss: 0.65553 | Val Loss: 0.64976 | Train Acc: 65.556 | Val Acc: 66.792
Epoch 09: | Train Loss: 0.65136 | Val Loss: 0.64804 | Train Acc: 65.917 | Val Acc: 66.542
Epoch 10: | Train Loss: 0.65019 | Val Loss: 0.64369 | Train Acc: 65.778 | Val Acc: 67.042
Epoch 11: | Train Loss: 0.64893 | Val Loss: 0.64341 | Train Acc: 65.556 | Val Acc: 66.583
Epoch 12: | Train Loss: 0.64683 | Val Loss: 0.64139 | Train Acc: 65.778 | Val Acc: 66.792
Epoch 13: | Train Loss: 0.64624 | Val Loss: 0.64097 | Train Acc: 65.639 | Val Acc: 66.708
Epoch 14: | Train Loss: 0.64373 | Val Loss: 0.63996 | Train Acc: 65.944 | Val Acc: 66.583
Epoch 15: | Train Loss: 0.64292 | Val Loss: 0.64004 | Train Acc: 66.083 | Val Acc: 66.583
Epoch 16: | Train Loss: 0.64380 | Val Loss: 0.63810 | Train Acc: 65.722 | Val Acc: 66.750
Epoch 17: | Train Loss: 0.64491 | Val Loss: 0.63697 | Train Acc: 65.528 | Val Acc: 66.875
Epoch 18: | Train Loss: 0.64321 | Val Loss: 0.63658 | Train Acc: 65.750 | Val Acc: 66.917
Epoch 19: | Train Loss: 0.64452 | Val Loss: 0.63780 | Train Acc: 65.500 | Val Acc: 66.708
Epoch 20: | Train Loss: 0.64388 | Val Loss: 0.63680 | Train Acc: 65.639 | Val Acc: 66.708
Epoch 21: | Train Loss: 0.64221 | Val Loss: 0.63898 | Train Acc: 65.889 | Val Acc: 66.375
Epoch 22: | Train Loss: 0.64160 | Val Loss: 0.63648 | Train Acc: 65.917 | Val Acc: 66.792
Epoch 23: | Train Loss: 0.64204 | Val Loss: 0.63471 | Train Acc: 65.889 | Val Acc: 67.125
Epoch 24: | Train Loss: 0.64417 | Val Loss: 0.63782 | Train Acc: 65.583 | Val Acc: 66.542
Epoch 25: | Train Loss: 0.64252 | Val Loss: 0.63697 | Train Acc: 65.722 | Val Acc: 66.625
Epoch 26: | Train Loss: 0.64084 | Val Loss: 0.63691 | Train Acc: 66.028 | Val Acc: 66.708
Epoch 27: | Train Loss: 0.64246 | Val Loss: 0.63267 | Train Acc: 65.750 | Val Acc: 67.250
Epoch 28: | Train Loss: 0.64130 | Val Loss: 0.63599 | Train Acc: 65.917 | Val Acc: 66.750
Epoch 29: | Train Loss: 0.64296 | Val Loss: 0.63596 | Train Acc: 65.667 | Val Acc: 66.875
Epoch 30: | Train Loss: 0.64465 | Val Loss: 0.63766 | Train Acc: 65.444 | Val Acc: 66.375
Epoch 31: | Train Loss: 0.64132 | Val Loss: 0.63762 | Train Acc: 65.944 | Val Acc: 66.500
Epoch 32: | Train Loss: 0.64353 | Val Loss: 0.63762 | Train Acc: 65.528 | Val Acc: 66.500
Epoch 33: | Train Loss: 0.64295 | Val Loss: 0.63760 | Train Acc: 65.639 | Val Acc: 66.583
Epoch 34: | Train Loss: 0.64240 | Val Loss: 0.63506 | Train Acc: 65.778 | Val Acc: 66.792
