Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.63817 | Val Loss: 0.60243 | Train Acc: 65.111 | Val Acc: 66.667
Epoch 02: | Train Loss: 0.58121 | Val Loss: 0.53737 | Train Acc: 66.111 | Val Acc: 87.542
Epoch 03: | Train Loss: 0.47937 | Val Loss: 0.39433 | Train Acc: 79.167 | Val Acc: 86.583
Epoch 04: | Train Loss: 0.35073 | Val Loss: 0.27932 | Train Acc: 89.583 | Val Acc: 94.750
Epoch 05: | Train Loss: 0.27054 | Val Loss: 0.20723 | Train Acc: 90.917 | Val Acc: 95.125
Epoch 06: | Train Loss: 0.23901 | Val Loss: 0.17593 | Train Acc: 92.306 | Val Acc: 95.875
Epoch 07: | Train Loss: 0.16530 | Val Loss: 0.15470 | Train Acc: 95.833 | Val Acc: 95.708
Epoch 08: | Train Loss: 0.15312 | Val Loss: 0.13098 | Train Acc: 95.889 | Val Acc: 96.625
Epoch 09: | Train Loss: 0.12933 | Val Loss: 0.12628 | Train Acc: 96.833 | Val Acc: 96.625
Epoch 10: | Train Loss: 0.11794 | Val Loss: 0.10500 | Train Acc: 96.806 | Val Acc: 97.000
Epoch 11: | Train Loss: 0.10237 | Val Loss: 0.09798 | Train Acc: 97.500 | Val Acc: 96.875
Epoch 12: | Train Loss: 0.09204 | Val Loss: 0.08777 | Train Acc: 97.833 | Val Acc: 97.500
Epoch 13: | Train Loss: 0.08693 | Val Loss: 0.08383 | Train Acc: 97.417 | Val Acc: 97.375
Epoch 14: | Train Loss: 0.08830 | Val Loss: 0.09526 | Train Acc: 97.833 | Val Acc: 97.125
Epoch 15: | Train Loss: 0.08642 | Val Loss: 0.08430 | Train Acc: 97.667 | Val Acc: 97.625
Epoch 16: | Train Loss: 0.08275 | Val Loss: 0.15841 | Train Acc: 97.417 | Val Acc: 94.208
Epoch 17: | Train Loss: 0.08609 | Val Loss: 0.19534 | Train Acc: 97.333 | Val Acc: 91.875
Epoch 18: | Train Loss: 0.15736 | Val Loss: 0.07031 | Train Acc: 93.028 | Val Acc: 97.750
