Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.61287 | Val Loss: 0.51690 | Train Acc: 69.694 | Val Acc: 72.333
Epoch 02: | Train Loss: 0.46712 | Val Loss: 0.38882 | Train Acc: 80.111 | Val Acc: 99.250
Epoch 03: | Train Loss: 0.29850 | Val Loss: 0.21353 | Train Acc: 93.611 | Val Acc: 92.625
Epoch 04: | Train Loss: 0.17349 | Val Loss: 0.11805 | Train Acc: 96.806 | Val Acc: 97.625
Epoch 05: | Train Loss: 0.10825 | Val Loss: 0.08865 | Train Acc: 98.333 | Val Acc: 99.625
Epoch 06: | Train Loss: 0.07558 | Val Loss: 0.06134 | Train Acc: 99.167 | Val Acc: 99.750
Epoch 07: | Train Loss: 0.05703 | Val Loss: 0.04445 | Train Acc: 99.417 | Val Acc: 99.875
Epoch 08: | Train Loss: 0.08292 | Val Loss: 0.08423 | Train Acc: 96.611 | Val Acc: 97.083
Epoch 09: | Train Loss: 0.04625 | Val Loss: 0.05526 | Train Acc: 99.250 | Val Acc: 98.500
Epoch 10: | Train Loss: 0.03938 | Val Loss: 0.07633 | Train Acc: 99.167 | Val Acc: 97.000
Epoch 11: | Train Loss: 0.04433 | Val Loss: 0.04526 | Train Acc: 99.000 | Val Acc: 98.875
Epoch 12: | Train Loss: 0.03086 | Val Loss: 0.02751 | Train Acc: 99.333 | Val Acc: 99.250
Epoch 13: | Train Loss: 0.02553 | Val Loss: 0.02174 | Train Acc: 99.417 | Val Acc: 99.875
Epoch 14: | Train Loss: 0.02377 | Val Loss: 0.01995 | Train Acc: 99.333 | Val Acc: 99.750
Epoch 15: | Train Loss: 0.04394 | Val Loss: 0.02671 | Train Acc: 98.417 | Val Acc: 99.000
Epoch 16: | Train Loss: 0.02300 | Val Loss: 0.03761 | Train Acc: 99.583 | Val Acc: 98.750
