Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.71590 | Val Loss: 0.66645 | Train Acc: 53.393 | Val Acc: 78.737
Epoch 02: | Train Loss: 0.65489 | Val Loss: 0.64024 | Train Acc: 62.750 | Val Acc: 61.842
Epoch 03: | Train Loss: 0.60809 | Val Loss: 0.59844 | Train Acc: 74.393 | Val Acc: 55.842
Epoch 04: | Train Loss: 0.61562 | Val Loss: 0.54612 | Train Acc: 61.857 | Val Acc: 80.105
Epoch 05: | Train Loss: 0.53003 | Val Loss: 0.53399 | Train Acc: 78.143 | Val Acc: 72.789
Epoch 06: | Train Loss: 0.48967 | Val Loss: 0.54520 | Train Acc: 80.786 | Val Acc: 62.421
Epoch 07: | Train Loss: 0.44717 | Val Loss: 0.42845 | Train Acc: 80.536 | Val Acc: 84.316
Epoch 08: | Train Loss: 0.40426 | Val Loss: 0.41514 | Train Acc: 85.929 | Val Acc: 83.316
Epoch 09: | Train Loss: 0.38666 | Val Loss: 0.46242 | Train Acc: 83.750 | Val Acc: 73.842
Epoch 10: | Train Loss: 0.39089 | Val Loss: 0.36521 | Train Acc: 83.143 | Val Acc: 86.000
Epoch 11: | Train Loss: 0.33647 | Val Loss: 0.38342 | Train Acc: 88.393 | Val Acc: 83.263
Epoch 12: | Train Loss: 0.33316 | Val Loss: 0.34302 | Train Acc: 87.393 | Val Acc: 87.789
Epoch 13: | Train Loss: 0.31987 | Val Loss: 0.35560 | Train Acc: 88.643 | Val Acc: 85.368
Epoch 14: | Train Loss: 0.31909 | Val Loss: 0.34801 | Train Acc: 87.500 | Val Acc: 85.211
Epoch 15: | Train Loss: 0.31325 | Val Loss: 0.32757 | Train Acc: 87.607 | Val Acc: 87.842
Epoch 16: | Train Loss: 0.28665 | Val Loss: 0.41771 | Train Acc: 89.786 | Val Acc: 81.842
Epoch 17: | Train Loss: 0.29272 | Val Loss: 0.32320 | Train Acc: 88.857 | Val Acc: 86.842
Epoch 18: | Train Loss: 0.28269 | Val Loss: 0.32016 | Train Acc: 88.143 | Val Acc: 86.632
Epoch 19: | Train Loss: 0.29559 | Val Loss: 0.31468 | Train Acc: 87.929 | Val Acc: 86.789
Epoch 20: | Train Loss: 0.29361 | Val Loss: 0.32936 | Train Acc: 87.750 | Val Acc: 86.053
Epoch 21: | Train Loss: 0.28749 | Val Loss: 0.38468 | Train Acc: 89.857 | Val Acc: 84.579
Epoch 22: | Train Loss: 0.29949 | Val Loss: 0.32325 | Train Acc: 87.929 | Val Acc: 85.632
Epoch 23: | Train Loss: 0.27683 | Val Loss: 0.31336 | Train Acc: 88.357 | Val Acc: 86.947
Epoch 24: | Train Loss: 0.26618 | Val Loss: 0.32111 | Train Acc: 89.464 | Val Acc: 85.684
Epoch 25: | Train Loss: 0.32294 | Val Loss: 0.51543 | Train Acc: 86.857 | Val Acc: 79.263
Epoch 26: | Train Loss: 0.27469 | Val Loss: 0.35399 | Train Acc: 88.750 | Val Acc: 83.053
Epoch 27: | Train Loss: 0.24613 | Val Loss: 0.32114 | Train Acc: 91.179 | Val Acc: 87.105
Epoch 28: | Train Loss: 0.24321 | Val Loss: 0.33210 | Train Acc: 89.679 | Val Acc: 87.158
Epoch 29: | Train Loss: 0.26410 | Val Loss: 0.30789 | Train Acc: 89.429 | Val Acc: 86.316
Epoch 30: | Train Loss: 0.26438 | Val Loss: 0.32232 | Train Acc: 89.857 | Val Acc: 86.895
