Beginning training
C:\Users\harry\anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.65038 | Val Loss: 0.63621 | Train Acc: 65.556 | Val Acc: 67.000
Epoch 02: | Train Loss: 0.64636 | Val Loss: 0.63748 | Train Acc: 65.806 | Val Acc: 66.750
Epoch 03: | Train Loss: 0.64176 | Val Loss: 0.63989 | Train Acc: 66.167 | Val Acc: 66.375
Epoch 04: | Train Loss: 0.64722 | Val Loss: 0.63523 | Train Acc: 65.417 | Val Acc: 66.917
Epoch 05: | Train Loss: 0.64512 | Val Loss: 0.63301 | Train Acc: 65.611 | Val Acc: 67.167
Epoch 06: | Train Loss: 0.64399 | Val Loss: 0.63578 | Train Acc: 65.750 | Val Acc: 66.875
Epoch 07: | Train Loss: 0.64306 | Val Loss: 0.63474 | Train Acc: 65.722 | Val Acc: 66.917
Epoch 08: | Train Loss: 0.64289 | Val Loss: 0.63564 | Train Acc: 65.778 | Val Acc: 66.750
Epoch 09: | Train Loss: 0.64294 | Val Loss: 0.63380 | Train Acc: 65.667 | Val Acc: 67.042
Epoch 10: | Train Loss: 0.64199 | Val Loss: 0.63832 | Train Acc: 65.889 | Val Acc: 66.458
Epoch 11: | Train Loss: 0.64135 | Val Loss: 0.63562 | Train Acc: 66.000 | Val Acc: 66.833
Epoch 12: | Train Loss: 0.64313 | Val Loss: 0.63652 | Train Acc: 65.667 | Val Acc: 66.625
Epoch 13: | Train Loss: 0.64198 | Val Loss: 0.63655 | Train Acc: 65.722 | Val Acc: 66.625
Epoch 14: | Train Loss: 0.64128 | Val Loss: 0.63742 | Train Acc: 65.861 | Val Acc: 66.458
Epoch 15: | Train Loss: 0.64188 | Val Loss: 0.63743 | Train Acc: 65.778 | Val Acc: 66.500
Epoch 16: | Train Loss: 0.64185 | Val Loss: 0.63832 | Train Acc: 65.833 | Val Acc: 66.417
Epoch 17: | Train Loss: 0.64127 | Val Loss: 0.63569 | Train Acc: 65.944 | Val Acc: 66.750
Epoch 18: | Train Loss: 0.64245 | Val Loss: 0.63486 | Train Acc: 65.750 | Val Acc: 66.917
Epoch 19: | Train Loss: 0.64239 | Val Loss: 0.63575 | Train Acc: 65.639 | Val Acc: 66.917
Epoch 20: | Train Loss: 0.64302 | Val Loss: 0.63750 | Train Acc: 65.639 | Val Acc: 66.458
Epoch 21: | Train Loss: 0.64305 | Val Loss: 0.63745 | Train Acc: 65.667 | Val Acc: 66.583
Epoch 22: | Train Loss: 0.64298 | Val Loss: 0.63574 | Train Acc: 65.667 | Val Acc: 66.750
Epoch 23: | Train Loss: 0.64309 | Val Loss: 0.63756 | Train Acc: 65.694 | Val Acc: 66.583
Epoch 24: | Train Loss: 0.64352 | Val Loss: 0.63584 | Train Acc: 65.583 | Val Acc: 66.750
Epoch 25: | Train Loss: 0.64298 | Val Loss: 0.63666 | Train Acc: 65.667 | Val Acc: 66.708
Epoch 26: | Train Loss: 0.64084 | Val Loss: 0.63575 | Train Acc: 66.083 | Val Acc: 66.750
Epoch 27: | Train Loss: 0.64251 | Val Loss: 0.63580 | Train Acc: 65.750 | Val Acc: 66.708
Epoch 28: | Train Loss: 0.64296 | Val Loss: 0.63583 | Train Acc: 65.667 | Val Acc: 66.750
Epoch 29: | Train Loss: 0.64352 | Val Loss: 0.63669 | Train Acc: 65.583 | Val Acc: 66.583
Epoch 30: | Train Loss: 0.64296 | Val Loss: 0.63667 | Train Acc: 65.639 | Val Acc: 66.625
Epoch 31: | Train Loss: 0.64124 | Val Loss: 0.63582 | Train Acc: 65.944 | Val Acc: 66.667
Epoch 32: | Train Loss: 0.64412 | Val Loss: 0.63500 | Train Acc: 65.528 | Val Acc: 66.875
Epoch 33: | Train Loss: 0.64471 | Val Loss: 0.63416 | Train Acc: 65.528 | Val Acc: 66.958
Epoch 34: | Train Loss: 0.64073 | Val Loss: 0.63837 | Train Acc: 66.056 | Val Acc: 66.375
Epoch 35: | Train Loss: 0.64131 | Val Loss: 0.63756 | Train Acc: 65.917 | Val Acc: 66.458
Epoch 36: | Train Loss: 0.64360 | Val Loss: 0.63412 | Train Acc: 65.556 | Val Acc: 67.042
Epoch 37: | Train Loss: 0.64069 | Val Loss: 0.63753 | Train Acc: 66.000 | Val Acc: 66.500
Epoch 38: | Train Loss: 0.64302 | Val Loss: 0.63502 | Train Acc: 65.722 | Val Acc: 66.917
Epoch 39: | Train Loss: 0.64353 | Val Loss: 0.63497 | Train Acc: 65.583 | Val Acc: 66.750
Epoch 40: | Train Loss: 0.64240 | Val Loss: 0.63497 | Train Acc: 65.722 | Val Acc: 66.875
Epoch 41: | Train Loss: 0.64181 | Val Loss: 0.63839 | Train Acc: 65.833 | Val Acc: 66.333
Epoch 42: | Train Loss: 0.64183 | Val Loss: 0.63752 | Train Acc: 65.861 | Val Acc: 66.458
Epoch 43: | Train Loss: 0.64130 | Val Loss: 0.63416 | Train Acc: 65.917 | Val Acc: 67.125
Epoch 44: | Train Loss: 0.64352 | Val Loss: 0.63499 | Train Acc: 65.556 | Val Acc: 66.958
Epoch 45: | Train Loss: 0.64241 | Val Loss: 0.63666 | Train Acc: 65.750 | Val Acc: 66.625
Epoch 46: | Train Loss: 0.64355 | Val Loss: 0.63670 | Train Acc: 65.556 | Val Acc: 66.625
Epoch 47: | Train Loss: 0.64296 | Val Loss: 0.63668 | Train Acc: 65.611 | Val Acc: 66.667
