Beginning training
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.62270 | Val Loss: 0.58001 | Train Acc: 65.639 | Val Acc: 66.583
Epoch 02: | Train Loss: 0.53573 | Val Loss: 0.50437 | Train Acc: 72.778 | Val Acc: 93.208
Epoch 03: | Train Loss: 0.42075 | Val Loss: 0.37436 | Train Acc: 85.111 | Val Acc: 77.500
Epoch 04: | Train Loss: 0.32623 | Val Loss: 0.24533 | Train Acc: 88.444 | Val Acc: 94.458
Epoch 05: | Train Loss: 0.24706 | Val Loss: 0.21276 | Train Acc: 92.778 | Val Acc: 93.000
Epoch 06: | Train Loss: 0.19659 | Val Loss: 0.16537 | Train Acc: 94.556 | Val Acc: 95.375
Epoch 07: | Train Loss: 0.16386 | Val Loss: 0.16098 | Train Acc: 95.139 | Val Acc: 95.375
Epoch 08: | Train Loss: 0.13551 | Val Loss: 0.12891 | Train Acc: 96.500 | Val Acc: 96.500
Epoch 09: | Train Loss: 0.12884 | Val Loss: 0.12774 | Train Acc: 96.611 | Val Acc: 96.250
Epoch 10: | Train Loss: 0.11098 | Val Loss: 0.09975 | Train Acc: 96.667 | Val Acc: 97.250
Epoch 11: | Train Loss: 0.09353 | Val Loss: 0.10493 | Train Acc: 97.417 | Val Acc: 97.000
Epoch 12: | Train Loss: 0.16750 | Val Loss: 0.31549 | Train Acc: 92.861 | Val Acc: 85.458
Epoch 13: | Train Loss: 0.12419 | Val Loss: 0.14587 | Train Acc: 95.528 | Val Acc: 93.708
Epoch 14: | Train Loss: 0.08030 | Val Loss: 0.08029 | Train Acc: 98.167 | Val Acc: 97.625
Epoch 15: | Train Loss: 0.08683 | Val Loss: 0.07738 | Train Acc: 97.833 | Val Acc: 97.500
Epoch 16: | Train Loss: 0.07181 | Val Loss: 0.08452 | Train Acc: 97.750 | Val Acc: 97.375
Epoch 17: | Train Loss: 0.07662 | Val Loss: 0.15637 | Train Acc: 97.222 | Val Acc: 93.417
Epoch 18: | Train Loss: 0.07548 | Val Loss: 0.07071 | Train Acc: 97.667 | Val Acc: 98.000
Epoch 19: | Train Loss: 0.06911 | Val Loss: 0.09029 | Train Acc: 97.917 | Val Acc: 97.125
Epoch 20: | Train Loss: 0.08028 | Val Loss: 0.22458 | Train Acc: 97.389 | Val Acc: 90.917
Epoch 21: | Train Loss: 0.07849 | Val Loss: 0.09623 | Train Acc: 97.556 | Val Acc: 96.625
Epoch 22: | Train Loss: 0.07106 | Val Loss: 0.06821 | Train Acc: 98.000 | Val Acc: 98.000
Epoch 23: | Train Loss: 0.10912 | Val Loss: 0.06946 | Train Acc: 95.917 | Val Acc: 97.875
Epoch 24: | Train Loss: 0.06221 | Val Loss: 0.06317 | Train Acc: 97.500 | Val Acc: 98.000
Epoch 25: | Train Loss: 0.05670 | Val Loss: 0.06392 | Train Acc: 98.250 | Val Acc: 97.875
Epoch 26: | Train Loss: 0.05093 | Val Loss: 0.07370 | Train Acc: 98.667 | Val Acc: 97.750
Epoch 27: | Train Loss: 0.05212 | Val Loss: 0.07428 | Train Acc: 98.583 | Val Acc: 97.750
Epoch 28: | Train Loss: 0.04499 | Val Loss: 0.05977 | Train Acc: 98.750 | Val Acc: 98.125
Epoch 29: | Train Loss: 0.04004 | Val Loss: 0.05562 | Train Acc: 98.750 | Val Acc: 98.250
Epoch 30: | Train Loss: 0.04617 | Val Loss: 0.06359 | Train Acc: 98.583 | Val Acc: 97.875
Epoch 31: | Train Loss: 0.04359 | Val Loss: 0.05986 | Train Acc: 99.000 | Val Acc: 98.000
Epoch 32: | Train Loss: 0.07840 | Val Loss: 0.11834 | Train Acc: 96.667 | Val Acc: 95.000
Epoch 33: | Train Loss: 0.05347 | Val Loss: 0.08553 | Train Acc: 98.000 | Val Acc: 95.625
Epoch 34: | Train Loss: 0.03959 | Val Loss: 0.06148 | Train Acc: 98.750 | Val Acc: 98.000
Epoch 35: | Train Loss: 0.04279 | Val Loss: 0.06138 | Train Acc: 98.583 | Val Acc: 98.000
Epoch 36: | Train Loss: 0.03598 | Val Loss: 0.08167 | Train Acc: 98.833 | Val Acc: 97.500
Epoch 37: | Train Loss: 0.05672 | Val Loss: 0.09668 | Train Acc: 98.083 | Val Acc: 96.875
Epoch 38: | Train Loss: 0.06237 | Val Loss: 0.09064 | Train Acc: 97.417 | Val Acc: 96.958
Epoch 39: | Train Loss: 0.04523 | Val Loss: 0.05443 | Train Acc: 98.667 | Val Acc: 98.250
Epoch 40: | Train Loss: 0.06809 | Val Loss: 0.06326 | Train Acc: 97.333 | Val Acc: 98.125
Epoch 41: | Train Loss: 0.03269 | Val Loss: 0.09827 | Train Acc: 98.750 | Val Acc: 96.750
Epoch 42: | Train Loss: 0.06495 | Val Loss: 0.14433 | Train Acc: 97.667 | Val Acc: 94.167
Epoch 43: | Train Loss: 0.04576 | Val Loss: 0.07152 | Train Acc: 98.667 | Val Acc: 97.250
Epoch 44: | Train Loss: 0.09106 | Val Loss: 0.05504 | Train Acc: 96.111 | Val Acc: 98.500
Epoch 45: | Train Loss: 0.02684 | Val Loss: 0.06568 | Train Acc: 99.250 | Val Acc: 97.875
Epoch 46: | Train Loss: 0.03258 | Val Loss: 0.05498 | Train Acc: 99.000 | Val Acc: 98.375
Epoch 47: | Train Loss: 0.03157 | Val Loss: 0.05426 | Train Acc: 98.833 | Val Acc: 98.500
Epoch 48: | Train Loss: 0.03402 | Val Loss: 0.08396 | Train Acc: 99.083 | Val Acc: 97.500
Epoch 49: | Train Loss: 0.03338 | Val Loss: 0.14233 | Train Acc: 98.667 | Val Acc: 95.625
Epoch 50: | Train Loss: 0.09885 | Val Loss: 0.05585 | Train Acc: 95.917 | Val Acc: 98.125
Finished Training
