Beginning training
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.63751 | Val Loss: 0.60705 | Train Acc: 64.278 | Val Acc: 66.458
Epoch 02: | Train Loss: 0.57948 | Val Loss: 0.63680 | Train Acc: 71.000 | Val Acc: 52.042
Epoch 03: | Train Loss: 0.52910 | Val Loss: 0.48451 | Train Acc: 75.778 | Val Acc: 93.500
Epoch 04: | Train Loss: 0.42325 | Val Loss: 0.37642 | Train Acc: 84.056 | Val Acc: 93.750
Epoch 05: | Train Loss: 0.35725 | Val Loss: 0.26781 | Train Acc: 85.833 | Val Acc: 94.750
Epoch 06: | Train Loss: 0.26438 | Val Loss: 0.21586 | Train Acc: 93.278 | Val Acc: 94.708
Epoch 07: | Train Loss: 0.21889 | Val Loss: 0.18258 | Train Acc: 92.694 | Val Acc: 95.333
Epoch 08: | Train Loss: 0.18548 | Val Loss: 0.15460 | Train Acc: 94.333 | Val Acc: 96.083
Epoch 09: | Train Loss: 0.14563 | Val Loss: 0.13694 | Train Acc: 96.556 | Val Acc: 96.375
Epoch 10: | Train Loss: 0.13351 | Val Loss: 0.14744 | Train Acc: 96.750 | Val Acc: 95.625
Epoch 11: | Train Loss: 0.12713 | Val Loss: 0.11821 | Train Acc: 96.000 | Val Acc: 96.875
Epoch 12: | Train Loss: 0.09934 | Val Loss: 0.09703 | Train Acc: 97.333 | Val Acc: 97.250
Epoch 13: | Train Loss: 0.10344 | Val Loss: 0.15765 | Train Acc: 97.000 | Val Acc: 93.792
Epoch 14: | Train Loss: 0.11623 | Val Loss: 0.09611 | Train Acc: 95.639 | Val Acc: 97.500
Epoch 15: | Train Loss: 0.11614 | Val Loss: 0.11835 | Train Acc: 95.583 | Val Acc: 95.083
Epoch 16: | Train Loss: 0.08694 | Val Loss: 0.07644 | Train Acc: 97.500 | Val Acc: 97.458
Epoch 17: | Train Loss: 0.08352 | Val Loss: 0.12038 | Train Acc: 97.167 | Val Acc: 96.125
Epoch 18: | Train Loss: 0.08809 | Val Loss: 0.09317 | Train Acc: 97.250 | Val Acc: 96.250
Epoch 19: | Train Loss: 0.07520 | Val Loss: 0.07272 | Train Acc: 98.000 | Val Acc: 97.875
Epoch 20: | Train Loss: 0.06928 | Val Loss: 0.13003 | Train Acc: 97.750 | Val Acc: 95.625
Epoch 21: | Train Loss: 0.08987 | Val Loss: 0.07391 | Train Acc: 96.667 | Val Acc: 97.750
Epoch 22: | Train Loss: 0.07325 | Val Loss: 0.08039 | Train Acc: 97.833 | Val Acc: 97.500
Epoch 23: | Train Loss: 0.07652 | Val Loss: 0.06558 | Train Acc: 97.056 | Val Acc: 98.000
Epoch 24: | Train Loss: 0.06137 | Val Loss: 0.06602 | Train Acc: 98.167 | Val Acc: 98.000
Epoch 25: | Train Loss: 0.05038 | Val Loss: 0.06304 | Train Acc: 98.750 | Val Acc: 98.250
Epoch 26: | Train Loss: 0.06874 | Val Loss: 0.07765 | Train Acc: 98.083 | Val Acc: 97.625
Epoch 27: | Train Loss: 0.06633 | Val Loss: 0.10091 | Train Acc: 97.667 | Val Acc: 96.458
Epoch 28: | Train Loss: 0.05590 | Val Loss: 0.08739 | Train Acc: 98.083 | Val Acc: 96.250
Epoch 29: | Train Loss: 0.05375 | Val Loss: 0.06137 | Train Acc: 97.917 | Val Acc: 97.833
Epoch 30: | Train Loss: 0.06105 | Val Loss: 0.12353 | Train Acc: 97.889 | Val Acc: 94.583
Epoch 31: | Train Loss: 0.04945 | Val Loss: 0.06972 | Train Acc: 98.667 | Val Acc: 97.750
Epoch 32: | Train Loss: 0.05828 | Val Loss: 0.07246 | Train Acc: 98.167 | Val Acc: 97.250
Epoch 33: | Train Loss: 0.07541 | Val Loss: 0.08496 | Train Acc: 97.000 | Val Acc: 97.375
Epoch 34: | Train Loss: 0.05885 | Val Loss: 0.14822 | Train Acc: 98.167 | Val Acc: 95.000
