Beginning training
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.63746 | Val Loss: 0.58110 | Train Acc: 65.333 | Val Acc: 66.667
Epoch 02: | Train Loss: 0.55694 | Val Loss: 0.50061 | Train Acc: 71.639 | Val Acc: 89.458
Epoch 03: | Train Loss: 0.42976 | Val Loss: 0.36622 | Train Acc: 84.139 | Val Acc: 93.417
Epoch 04: | Train Loss: 0.30117 | Val Loss: 0.25087 | Train Acc: 91.417 | Val Acc: 94.333
Epoch 05: | Train Loss: 0.25640 | Val Loss: 0.19857 | Train Acc: 90.528 | Val Acc: 94.083
Epoch 06: | Train Loss: 0.23245 | Val Loss: 0.15518 | Train Acc: 90.417 | Val Acc: 95.625
Epoch 07: | Train Loss: 0.14885 | Val Loss: 0.18361 | Train Acc: 95.833 | Val Acc: 92.958
Epoch 08: | Train Loss: 0.18045 | Val Loss: 0.13571 | Train Acc: 92.722 | Val Acc: 96.000
Epoch 09: | Train Loss: 0.13111 | Val Loss: 0.11209 | Train Acc: 96.111 | Val Acc: 96.583
Epoch 10: | Train Loss: 0.10753 | Val Loss: 0.10365 | Train Acc: 97.167 | Val Acc: 97.000
Epoch 11: | Train Loss: 0.09774 | Val Loss: 0.10477 | Train Acc: 97.250 | Val Acc: 96.875
Epoch 12: | Train Loss: 0.10630 | Val Loss: 0.11116 | Train Acc: 97.000 | Val Acc: 95.958
Epoch 13: | Train Loss: 0.09789 | Val Loss: 0.08473 | Train Acc: 97.083 | Val Acc: 97.625
Epoch 14: | Train Loss: 0.08551 | Val Loss: 0.08780 | Train Acc: 97.333 | Val Acc: 97.125
Epoch 15: | Train Loss: 0.08046 | Val Loss: 0.07985 | Train Acc: 97.417 | Val Acc: 97.750
Epoch 16: | Train Loss: 0.11191 | Val Loss: 0.20676 | Train Acc: 95.806 | Val Acc: 91.792
Epoch 17: | Train Loss: 0.07729 | Val Loss: 0.07298 | Train Acc: 97.333 | Val Acc: 97.500
Epoch 18: | Train Loss: 0.06476 | Val Loss: 0.06700 | Train Acc: 98.250 | Val Acc: 97.750
Epoch 19: | Train Loss: 0.06767 | Val Loss: 0.17124 | Train Acc: 97.750 | Val Acc: 93.583
Epoch 20: | Train Loss: 0.06006 | Val Loss: 0.06875 | Train Acc: 98.167 | Val Acc: 98.000
Epoch 21: | Train Loss: 0.07125 | Val Loss: 0.08001 | Train Acc: 97.333 | Val Acc: 97.375
Epoch 22: | Train Loss: 0.06262 | Val Loss: 0.09509 | Train Acc: 98.000 | Val Acc: 96.625
Epoch 23: | Train Loss: 0.07411 | Val Loss: 0.06347 | Train Acc: 97.639 | Val Acc: 98.000
Epoch 24: | Train Loss: 0.07568 | Val Loss: 0.06263 | Train Acc: 97.222 | Val Acc: 98.125
Epoch 25: | Train Loss: 0.05329 | Val Loss: 0.06843 | Train Acc: 98.500 | Val Acc: 97.875
Epoch 26: | Train Loss: 0.06929 | Val Loss: 0.24577 | Train Acc: 97.750 | Val Acc: 90.083
Epoch 27: | Train Loss: 0.07191 | Val Loss: 0.08245 | Train Acc: 97.389 | Val Acc: 97.625
Epoch 28: | Train Loss: 0.06530 | Val Loss: 0.06172 | Train Acc: 98.000 | Val Acc: 97.875
Epoch 29: | Train Loss: 0.05231 | Val Loss: 0.06278 | Train Acc: 98.139 | Val Acc: 98.125
Epoch 30: | Train Loss: 0.07614 | Val Loss: 0.08672 | Train Acc: 97.667 | Val Acc: 97.375
Epoch 31: | Train Loss: 0.04139 | Val Loss: 0.07161 | Train Acc: 98.750 | Val Acc: 97.625
Epoch 32: | Train Loss: 0.07724 | Val Loss: 0.13337 | Train Acc: 97.139 | Val Acc: 94.208
Epoch 33: | Train Loss: 0.06047 | Val Loss: 0.06752 | Train Acc: 97.917 | Val Acc: 97.875
Epoch 34: | Train Loss: 0.04939 | Val Loss: 0.06882 | Train Acc: 98.333 | Val Acc: 97.625
Epoch 35: | Train Loss: 0.05651 | Val Loss: 0.05361 | Train Acc: 98.250 | Val Acc: 98.375
Epoch 36: | Train Loss: 0.05364 | Val Loss: 0.06959 | Train Acc: 98.167 | Val Acc: 97.625
Epoch 37: | Train Loss: 0.05147 | Val Loss: 0.10189 | Train Acc: 98.417 | Val Acc: 96.500
Epoch 38: | Train Loss: 0.03227 | Val Loss: 0.05137 | Train Acc: 99.167 | Val Acc: 98.375
Epoch 39: | Train Loss: 0.04274 | Val Loss: 0.06750 | Train Acc: 98.750 | Val Acc: 97.750
Epoch 40: | Train Loss: 0.04187 | Val Loss: 0.15519 | Train Acc: 98.833 | Val Acc: 93.917
Epoch 41: | Train Loss: 0.06960 | Val Loss: 0.05366 | Train Acc: 97.056 | Val Acc: 98.500
