Beginning training
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 0.66412 | Val Loss: 0.60297 | Train Acc: 61.944 | Val Acc: 67.750
Epoch 02: | Train Loss: 0.61190 | Val Loss: 0.56170 | Train Acc: 65.778 | Val Acc: 67.792
Epoch 03: | Train Loss: 0.55401 | Val Loss: 0.52654 | Train Acc: 71.417 | Val Acc: 67.667
Epoch 04: | Train Loss: 0.49500 | Val Loss: 0.49515 | Train Acc: 78.528 | Val Acc: 86.667
Epoch 05: | Train Loss: 0.41974 | Val Loss: 0.41708 | Train Acc: 82.833 | Val Acc: 72.750
Epoch 06: | Train Loss: 0.35310 | Val Loss: 0.28866 | Train Acc: 87.500 | Val Acc: 94.500
Epoch 07: | Train Loss: 0.27403 | Val Loss: 0.23665 | Train Acc: 92.861 | Val Acc: 94.875
Epoch 08: | Train Loss: 0.25031 | Val Loss: 0.20969 | Train Acc: 91.833 | Val Acc: 93.667
Epoch 09: | Train Loss: 0.21317 | Val Loss: 0.20227 | Train Acc: 94.028 | Val Acc: 93.458
Epoch 10: | Train Loss: 0.21094 | Val Loss: 0.18954 | Train Acc: 92.861 | Val Acc: 95.500
Epoch 11: | Train Loss: 0.18545 | Val Loss: 0.20012 | Train Acc: 94.694 | Val Acc: 94.750
Epoch 12: | Train Loss: 0.17224 | Val Loss: 0.16236 | Train Acc: 95.472 | Val Acc: 95.583
Epoch 13: | Train Loss: 0.15705 | Val Loss: 0.24968 | Train Acc: 96.306 | Val Acc: 90.750
Epoch 14: | Train Loss: 0.17378 | Val Loss: 0.15810 | Train Acc: 94.778 | Val Acc: 95.750
Epoch 15: | Train Loss: 0.14902 | Val Loss: 0.15066 | Train Acc: 95.722 | Val Acc: 95.875
Epoch 16: | Train Loss: 0.14982 | Val Loss: 0.14255 | Train Acc: 95.667 | Val Acc: 96.750
Epoch 17: | Train Loss: 0.14517 | Val Loss: 0.17369 | Train Acc: 96.500 | Val Acc: 95.250
